company,job_title,location,company_rating,job_age,job_link,scraping_date
Spital Uster,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea30d15d&cb=1677659245435&jobListingId=1008492189725&cpc=2B30C664E96001FC&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-24c5ddb716c1c9f9--6NYlbfkN0Buo0-3Og-r-fczJOHIjtPCAS-MijvoYB671mbSoNWf3XeLkpsVxnaip2znnnaz4uLXQtgN1TGBbYYrXgWBxPe7AbheVOUjEk273GdeY81K3qLurnZz3xgj10hjVacIP0D2W3o89o3-KmAsHiWeuoKbDS_KyYN6ltTvKTUEjpvFcyJzWEPXPWUmgOwLPIMEm4tP1LmyLu68Er4i6_XTB2lkY0bUUJUCgMF1W3qAgs42FBRgND5CZaG3yMvH2TSm7ctYq-mnbmARD7xuiUGSsMeK-G-zKidQtQj5S5pn030p0MIR0RSffc9EMQh7DyXKhoXxj_-kVCJ95uNR5xsnIdGualOi-OOMUACiVGMWcjy45mCvo1yU88Fc1WBfIHrqAEV5nOaoHQmrrAPlReAOyvq9vSavb9hTKWrHxLY05dpiE5i5A0Kh6goyo2UzT-trBNrOxE9anZHIKvl3PGMlcmjIcjhEH_DfyGpq9tm-1UXuxasO7iNfcWAvzxkpcgY2jdaimLPpnusqe8IxM2mHwQONjBGVtC91FMVQXTw_3e1wJK91luffyW0ykQFsrS8wbzFTopbPR_ROCrQSTc3jIYpju25l6b72cbE%3D,2023-03-01
Guess Italia S.r.l,Addetto Alle Vendite,Bari,,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ab3bc684&cb=1677659245436&jobListingId=1008473550121&cpc=BCE4811A78D39AF3&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-f45c90018be4cfad--6NYlbfkN0CA67G_SAGmLKr1-1zGryutA_KuKy7K8eYaAWAKkAexSLJ-g7tP2z3xY-Pu5UHMF1qOVLwDiMRcW4tSH4z3vV755TZWpstc_oGOuq8fNrtxPY6tO5M2j4tsdEv9lTaqo1_rG_RV1RyfjL5mqsBJthYiaYAJWz_uhvRCEu-x5n88GM2YhV-za1yaEwHWwEC-bc0Yr0AKXF2pAIQGgE7kHhHRT4VOlGn-sBrqdSt-HIHEb_KyIigzBIGYUZxdPyjw6EUg_c6MyfrZtWvABsMh4TB85zIpODc1zBw1C7m1CMleuM1lI_V3THe1kmz28e_Fue51DueRxca_ZagTM_f43EmKR6spjQP9T62WaPgJHoAP1EexTixbOVXHlnFJZzdKeADXQuo_M7B-mZxW9FlRCmH-wyWWIrWcCEBcUTREfKE2qfQZdcygm6d4jt0vOgv_4WZTVHFZk42ZNA9ChVEjqxMuRU5Hjgr220Z2BpDioHnGuy9hCBNvuDJRGJ4msiOGEhvq1zFnx1wnrcx-PrIKmyX-FwhslDrTcDVpxJQpEQgAPi9YHPTWiVdEw2fIYdPfSVX_71ZmACcSgsLeUfSTCySvpzC5wyQODpteVPuSaYqP8a11F-vvg8Sn,2023-03-01
ITI SERVICE SRL,Impiegato back office,Molfetta,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d43e3a87&cb=1677659245436&jobListingId=1008491324432&cpc=883DC43018083D9A&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-908f5d1088333f66--6NYlbfkN0BTtztt2KZLiSSeHdXp8Gbh0mVHni8Bohcv38_ewDSud-KrBjGR2Rx-czWz6Om2NlOZcyraiW3NSbGr5Lz8j83Uq622BWNJEhd4P9ZN5AcQI3AZQBqiU6wYUe0_SYS8LLeWJJw-G4JJZ0dkVIfK4i0rCXIJm1O6O7hJJQUqpxDygLW6uG90PlwfF7FmKrXXMBhrCgjrgxjEiUzt0cz_WvqpyEYjRBrmqfdnWTcHB8c0OuN1CUhbgHFbxI4fEpChLeDb8A_YiJswwZwZXh9DrFCDSlkcMrjg5K1NXoRlPpKHhp5p7Np5kHLYibX9PewfztPUr9FnZz0jBl-1sCe9zWEQ9mnxbjC7f0P5WQ_8xIAx7muehhSPLSDi2dU_kIw46ogRSpL-VVAXG83BhwpqajnBeFHlc51MCJol9fuerebIfYa11eCZWPBkvxF5dKoUpNtD2f7VzwCLqcBjlXRYxaV-m1_k7nN8_xQBLA_t3RcyLD1vXXtqXTcArdvOtYjrC79JGrfgDnZfCwYiPXSg_bHzzvRuhmucsaXBoAAbKXt6GdbMUinVGym_L4DUo7sALB122CpNq0Vd5w%3D%3D,2023-03-01
Informazione riservata,Ingegnere,Bari,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0fbcd7ca&cb=1677659245437&jobListingId=1008296696242&cpc=F2E91DB1AE7076E1&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-6b133afa9c4cc45a--6NYlbfkN0BurGwR6aH_Sjq0jpbyLBAi5D4qJEHgbrS_EjqY84UVtS1IA3Lab4ZBVGKuEX1PwSjNvAWYeqDVxBhfNb3D_kjyhd2-j3YKo7UmwLievu4IRXsTpNHGWiY1eC4SKDDoL05LmdSMF7bO8Lc0lGqevsAFTUbz6FfcUyXOmzjSwS5fErxY00vfzvWo0cZLISRH8qcO28lRo6fsAa5JKvToGn7w6zSfO675Z2Qug0r9DXvejvA-5yP43ttAWN_5PjUoPCLb5TepbK8iq9Aiku7KT5TO8tLbjzj2drhxXsI5M3X_rj_wm-UXWA7sXsLdZBA-N9Y2A3HuM8IqVAmy4GGglCW9MT1PG0C0ICDAQBV5NFmn-aTHv5G0ltj3E8hNHAPKfGHRd2eQPCh5GaZcHoe9KhYMoR2uWXuYfW8KzD9TMw90NnH_cZigliclw_G4S5blApCYEefZ6MpZ0pzoqXFGBbOPdkaK5mrX6c7VJdLM6GEI3z1nJYpU68Xo9elU6tjWUSUZGDDXL8zUbzNxXqdhRft3S-TPGPTV3V25vUqBSdWuBrMxSBZSqSQPvfj0RbGixCZTJK-n4atxew%3D%3D,2023-03-01
Formatc LTD,Sviluppatore di Software,Bari,,22 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f16aeef2&cb=1677659245437&jobListingId=1008456083373&cpc=9EDA28EADF1DF7F0&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-2bd5444a9e2077b4--6NYlbfkN0A9GlHWjlEQYaqxbaEmdCCe5JRS0tXTKY8eeesCJbOk-nakqqZT-eMY-purKn-qCh-W_Ae0qLp_GiIhhvdAS7_OB9xnysgiE3lplaCdRwOt8rm5grOd3BeBS6GHlXYvQj-lsJhzu2W4mz1HX3Vp3pHX4aVJnRwtx2wew1WOQ91b4lr2pUszP9_0si6YNUewWDuIfxZLmftTNzDPSL9v7O39HFQB-7odeHxmobWPRcpDBwfyY3dkN-_TggluzoTWwqKd6tDFEFaPst-zRxEacyOPypQ8p7ZzMog3Xm4xrCJUdFVrvWC0lpiAiISqVvMZePuJb5CyMQIyXbjbbsIstmON6XZyc9KJuVAdWRUh9qGX1a-9-ihCXqGlwoRcfKz0GvBXqKzQ_2AnlE0ga2NN99ljS7weXf_ncVO8TK94Aom8Lnp0r4ZK0ymLo_xOGllReDHsHjzPwMwoZ8wzoOwYpye49zqe2ydB4tt8ehcH2ME9PZNQm9jkfEFCHDRK55_CasRYXyfdVwgpwv8W89YhEq-2xx6kDUP238jMCI3RGoHmmRKK5hffrUXwwtl7hJl-_O5DW5iHPFK75B8qyGlfrJ8Z,2023-03-01
Bounty,Cuoco,Puglia,,7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a0693154&cb=1677659245437&jobListingId=1008484537222&cpc=D01F56F24F237C35&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-4d9b0731c3d1b793--6NYlbfkN0Azqr6hln8fuKDRLp1Z6g25k4Kb4pvtSoDjFb-1GxzPAMoLQpZvwj9NfBB9uXzy1E0UgPs2SBDlr3BO_eHciHRiGDuhwST7t6FFfhEvZlqm-AcZSmkdjaMC6m-CC5JijxABXkltIsy4WsihQZdTIOSmu7pozLe6eGtjXb4ysbfgY30m4lqhmCMd2kbXMcAmYQcI0fBo_k0b2v_qV2CMBv5wsny67HK4zaZQ5BuPJmXUHnH973Adg5rgpkT6kUq6kbExf28uQgfOPKd_-GORlqVO1okxgeoePeqGFENIw99nQSc8dwu8z-nmkmQOw2ihxd5aFdS_igWGUEXwLTZ2-8cgCaOh8SlCsCDWwsxNGbfo5t0CKQijQN-rtJfjJE5G2K7otSz4uMwsgVo2CfeF4Ie2cktvbsJ4xmCLfmeWSC6WHXE9sxu2ZUa4Bl4Y31ByRz0acnixQIR84ZpIBFik6WbBn2fx1c-sQ5SCikDA_OHpsVXlN7Jirl0NWcrBp8Mmrqb-J3KSeq8g3fTTw7On0xPS2nuxrq_6Qgq_jQw14oSdiz998Uu_3BYtTiIcGMZeYgg_Glk5Qou6bQ%3D%3D,2023-03-01
US Food Network Srl,Cameriere I,Bari,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d294ce15&cb=1677659245437&jobListingId=1008496864490&cpc=C19BE7EA145E205E&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-a069454d5372a931--6NYlbfkN0A3JJP0HnrOCLYRZnNJH8e1HI9apB4wcIJ8fB7P1-MovAGcRU1dx-D3BiwmX8urVLE8sCciqlHOwfzEd8eWCc0vCFfXfp9I8Fd-tRb_xLKiKS9aNZJRoNL7ukaGisrDnwPgiLDZ6Je6N2_AoKEZu8VDRufcnQrnwYq_Ztj7J8W6W4sCBoGycZfgzKyrttDe8stuzCEF1qUYIw3vDl7FLQur_PPLfZcxeA0a-DOVca-d43n_00S1_qctELge_jRNeirtMSJmcu43a_9YYCBYU5QdLnLYq0qu06Ddf0PxPTfiWtJiHTienkjw-9sV7SNPvCR6qF-4IB39XRWSc26SJSMMKXjuki-bsR0maH_vKR3G_2n7ZVCkudJiiacIpZ5rjYonMCu17s_2Ca6D-fPFLK0Yd_w2a6J5FKz4QxEKQkygykiaPtCMZJWPvPj28ttsq4mR_1l3POHaru5jnDRcE1PxDK8tDmiDPv1jAUy7N7FjqAye-SoxZLUKbrPe98Cf_F2g5LwQVsA4RjgvnGThvUsNOYpiYpnQxWv0ddVLNbZLTQsMwG1fbouHmAgEkrKqJXs%3D,2023-03-01
Studio Massaiu SRL,Odontoiatra,Bari,,2 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f93d7468&cb=1677659245437&jobListingId=1008493364165&cpc=FDA93C03AE7AED37&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-315813ea9b7a2ef0--6NYlbfkN0CDFdga_KUvIsIcilKEyPgTE-CquGVW7EkM4pp28bctv5KW0sTwq-1Xp_S-fxRuiRw2vgAuve8jBBAzhI6NvoaPnxtHOMdTOSlzRJIzV5pt_YLvHCSdzYXNiJRDUteqc7ueaW16ORmMNZWC-q2ECMhDzxaIIc4RKazbCs_1XIVAXhS50Rtb4B3TvVAm0F-9tzRQXWyTwmry8_U_gH9mZde5EORh-c6X5K-hv0BylT8ZPNiJWg6Lg0MjECXkkG9d3YQ-nB5SS5ocixmfv_mPHRbHFtKMA1tHTyYeZJVWV7EJ_MqQaA4jc9HXfDmfPp7bIr1SPM8YfEAaBZHma7oJNYLZHP5fAcidgp1S3PYk-aklgeA79nlgcipUdLGxnakJIgIctnIA4MwQrGdTPt554qpkmMAgv9QpyHaTkWM_jWZgMNiLm5jdRrOKaH76ZsRd9MgXgUDcxI4YK14O15G7KcVntXl9OS4YDNXPjKw00gKLAJma4k-GM5maJDR34gbR29paPB1_Fdo7MLY1lGVmHrwgLFIJs_pa9nSg9OyEH6spLRjzWwiURdbngTmXJAHbSko%3D,2023-03-01
Medical Solutions & Consulting srl,Informatico Supporto Tecnico,Bari,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_478ebc37&cb=1677659245437&jobListingId=1008238224712&cpc=F5E96E35A1725171&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-8bb67f69768ef124--6NYlbfkN0DYSpXeGMZ3BEPnMl_JO4iWKAeTSttf30lnNAqTRVQMG4Abv4V286srVD0swery0m2N0gHOky4U6iIa0CFgTSyE0aYVfFycNbzLxldpbJkJWx9ysjPbRspbk9NjdM97cAr62hs_5J-qto21uAoHS2ub3pceuuNJshegkeGME3_28KHaZRsjhB6WvooMNIbPKs6U_P8W0IOkhgyF888LNYZLuP9ArPrNPcBA4DqwA7BoIdcpAQiTj0asPf7GV-_9j9mVkuvczUzKuXH00ZKjRfTnDLn-YvHqK7B0FSkDm5L1NWv0SQWF3tCCwBQ_PEGZlIHjxz5Rt7o32Yrf5pM2ofP7C9QZ0RAgv_FMdk8kn56vZl3EUtHttxBpOhzqFws47H-kPw9iqqW66SggcHxymuD6gm6iHfRaXhsa6Az_7Cqlvlw5gvFJ8USnT4n4Ulyuyu3hJ3Vfg1eX2WwwCkKTExwJ-9eSQE3H45mVa47X2iQurF7QhgxKNrt0-sb_8ZQXJl14qkyYEVM2XGljagKRZbzYC6_YTFAC5ij-l4x2EF6ggwq8uIi41Ctltud46fvrcm0%3D,2023-03-01
adecco,Assistente di Produzione,Bari,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001869c488a4193d4f681734f5c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_f36c10a2&cb=1677659245437&jobListingId=1008428776250&cpc=42BEC95245890617&jrtk=3-0-1gqe4h2k3jij4801-1gqe4h2l4g4e9800-7f44428cf63b4839--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFK7AudwSoZPw5olmPJnIU8hqbqR5F-NQQEC2kkefIo0zY__h4tTc8mgwtPzbrp3g2nGvLMsDj8GJuOI_H2-_iGdcWgG2BhnL6DZ4AP9DQLt59eVjazESbCYwaDZna3neEU9QdjRM2xlCE-6HQphbCJ_wnLV4cbjOfPqVWSkl85enQb7H0fGYI9ZDbjX97iaSR6XZfrOx3akSo00ANyKYXnbX_YfeXECaAWE_wDe2ZxilKJzqhC2PRliZY9q6FLm7KNtAVvlrOrCzU8Ifz5QOgYpjoXvJQdM26Mt-0xSvRtVqHtOv6XQDZyS9MHraQn3xDnC3st4QrZoA8By8MK1RQvFjTnkfNMbHtGt8U4GYUHdwfu-6SVqEJC_wRtI7spWgVxJ-KbpVYyXvduNahSUXfvvX4NhhigmxtoMxDklm92jwFSgatzSncN3HxndbD54xnY_wZ1snZWvN3OcvpkqaCrPBqGBC2I4ssl9B9ymuBjr0hgznhVvo4havP8tjT5JlAiTo0oEIXFCu3JQ5a6xdwtW-9edR2U5Mx_5xho3PaiuFJgNJO5b601V-5ob2SvpFE8q9Zi7Hsm33KhwZPN8mEpTnu3a_c4gVYQUqjE6swPPQ0L28AuXKVkF7Hb8OwpVJujBAvBCOEFWF1KWV1KReClSln178kxnW_v-MzxXYHa3MOAO6WS00bc6IiNtcY3pg7rL3jR7jTY-Hi1j6pXWPu4WuQmuP0EKCEICdkHuC4vLsKWXxnCBaD2qNYXveXZh6uEuIue42O13lw%3D,2023-03-01
