company,job_title,location,company_rating,job_age,job_link,run_date
Saipem Italia OFFCO,Security Officer,Italia,,1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&cs=1_d3368cfe&cb=1676569905638&jobListingId=1008474128563&cpc=E04C949A9101C6A2&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69iJndQquNfmCe7cpn-5uF-n91shJkcgrnJgI8BFC3dgv3f6cmRB2l9z08mv6RGdM5zV4RkCgdJEoi3Dp8MNzvECYCqOMe4igMFboM7TnOE_N-myEFhI8HDNFzYKk_dWkz7Dh6oPQL4gi2n1Z-bKLzLlvPR_pGifDwmuNM3qwGmUutygyh48EtrmjCeY6l_teINI5Mli9J5Cefb7Wl6vF0EpYthSZT1epmVilefr68R32UTe40shfNKkWc1F8HcbjxkT0Sl0O79hInPhhzlc1T542tCPajWBl9hBbhPP41APdhve8VymTCAiV4qmGCKkQroFY72a-Laa9Z-B5JA33oB8Als5FIuD9c9qq-tlMxJbw3bt3fO6FGcugidyZGBTkrYX-DTa39aov1NomwASK-M0F1oLAUnLHGAYlqBu8N7LhecH_XYf_XaG2BK2mmSwf9-CNCjJjKk0E4S0dgWjJdNt1Jvr_839H03ymtFeacRP7H51yR-ccNloKeKKpvhPrchUhabzLgHKFTtJqr4e-azAjpmcgyycHlCa2kgrv2yYy,2023-02-16
SIGNORPRESTITO SPA,Consulente Finanziario,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",28 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5f413ba8&cb=1676569905638&jobListingId=1008416673809&cpc=D99DB9A39DE67464&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-d830bed9c5c2881b--6NYlbfkN0D74302Cqkk_Z3RqQnMiVOiakVDPjdvlvTMJ0Zvlklid7SotXgZ8BsSPpKqHKAkSdvYPp5SaKM3YWEJXMcw-H7addeF3_dnijX1NTAUErG-nMptPVpwkN9W4Bm18r19zOcEWyVgje4EttJ-_Gv3818bt2EL4wwY-ijDWZxTpCFuR5_B8hW17-Zbo3bXfuM7NWP1hX1yqRbcY4x5fqb3nKJHgpo9Gsv5Ku5c9ld41X4iaA-VKFNUu74laecAh_5wFPfwG4vjwN4CpQY88FdAhdKNuj96HEx504kLbGSC0l2ektKgvwvF3Bt8DvCauul891RpanlSzykZqr-VEHb3v3UFNpai8-kXliHhO310AoTUSKrBB60TeBQbohtIKohn_2oDoHDyDklXUNeMYlXF3BwW3YdSJMXo4Ozrzjj7ZPxvAJzsO2kknpX70gET0fNOUEfR1XVpPrBb_91eKo8QZi9fE7kHqPBfnowTavXP9JbnGCFfcDMS_bvvK3bKmPaJ34Z82gr4ChNLhJpzIKLVOyomY5XXSwZhtOC9nuogihpJeocizjTB8V_NnlT2Jglz7NaG8mjplBxBYnJlc8260h4iwQppqoAYsN-rL_GOchkTifZdiw6Emy9RTdVk8FegeA5HN_S33utq9caf7U_0YEE5cY2lKyxQQkpMDM5AOqa6cg%3D%3D,2023-02-16
Covisian S.p.A.,Operatore,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f924cdbe&cb=1676569905638&jobListingId=1008378360877&cpc=009A9C8147DF705D&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-ad68a16368b41907--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgVQ0f_8wE1DpvTswVyHFG6jSuso9zWT6x0S1cw5zR0s9llb6J2xX3mIO9GeKR-UclAgUwTWAuaKAsHxLw5uOcOEbTfZtYzZSRJOD8LdtPse-30q3zaIzjh5r4889m_sEFmzrgMOeZZWNzYu_VPGxKvJJ95X83thyn8pI73bpPpMov3zC5Vxm0wmMyXvqPlbLZqsz6nfPoK1xC9W-LFt1rg55IxcIc1htq4Yv_q1BxSPKMH5qVCihp74msvCL7YjxuEw4Tm9bJyfojNRJACrE3RKuFHmYCGC2TzSxaV3RcAoBDlQ5bTlAZKwtneaG1Jb8Exb3hRbh383WCBz_q1_SxLeyagj7xGi-xNx9mof86hU_g36i52kU2TpftqTOYt13SfooUEtnNewRjVLo30-J6e2IzhYWAEAqBrLUbp3mPAW6KN5hDJCv2JALEKguxADA-AQU8vR_M0M-_Lu1cu_9tyV8v6mKottp1OwDxJ7YcxvF2QmjOsNJw0onBOnr9nV0N32TujvHlecI-b87jj1MUPEJyuoNJ6E9lOfPfTqtkY83_t4o3KF1zhFmUDzkH4PxRfyygUYVjP1mWV8WCzkaBwwMLzozn_HIj_-kzeqq6JF7Q6OQoyNDzzUEpImVPzeQtA%3D%3D,2023-02-16
Happy Casa Store,Addetto Alle Vendite,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.2<i class=""css-0 e1cjmv6j0""></i></span>",6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b11e8dbb&cb=1676569905638&jobListingId=1008464491893&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-7db44a4a0095161b--6NYlbfkN0D8jtELeZ2DSjG172ALOKTvtzTTHVc7H3djIxsdTdrG6opdHVuvCnEkzgxrvKFa0NIRKuItTDVPvc_jfsMMtOGjENyZVk8_C7NwBD5S2bq4nnN5fRrtrnvtea2K3tjRN-Ev76DooKMd_wpclzTuYksUyjNWhOzLi5jAxyFqeFaegLFZ7DJJ5m571hJ-ZgXPWENc-ttxoWg1FPh7E8h3jhhazi013yRjKBiN0qBhxObWNgO3Z_RWUagUb1bqMWaI8AY_i5LbHW3xxqysO0ewkmsN-wDx3jX32na8n12Opjf9pPjHVaIsJQxDEKSxPQ7qQBsqQS9nuh6fCgaSFgSxSEZRXAGLokFzf_ypfjeZ0l897S1EVBwUZn8MdUDlmhSWJvjBmmXI3atnfI95OB3nC32D59L4HuTv4qmh6AjFd6uU2cWR7Tkle5ims9p8qvoNixGzyENi8daD7VqtUkkq4ABV5MdsFkxLiPm_T5IEDOkzHP5p4cgAaQ8cnQg_P4U3od-Yk7X1LZAKBMJn1O_EefKqqQWrql1uQCQycoUVbFAPsvDFn0xJ9HUxelaKtGQ6RBywl1ExuqlRNN9GOH4m6Ep5u4UN-1Wyr966mbJysnKSVC5gj9wwT3FpEv05IfW8BVD6AenX2eXnWIBWKHi5uIc0,2023-02-16
YES WE CALL,Rappresentante Commerciale Interno,Rende,,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3f342309&cb=1676569905639&jobListingId=1008414100664&cpc=A8EA696C92E7776B&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-364814d5bd49f6cf--6NYlbfkN0DagA07TmyB1YJyzVUET-YOJfvA-QQt2uXWMMaoMPa4Bfu0iOKutm-l0N3_YznssB30n3nhpvtYzy40VF_rXZcoQAanog7hGR4Xhkr6B4zNNgvy7axJ3buoLjMk67hFpoxUuKMrYJ_mKNN6L-QF7llqxCD-ssv5cEE-AS_C1QDb_tFDk5OI1zJe_mXc_5kELuiWAmHbSfLVZIquSiD_XRMc4C5QJ6uBokZouiy8IVmK8ToweY91wxhhPcd7891xXHxkBKsZuXMvDvObPsrBG5Inn-eApxL2TKx64He0k0_1K-xcOTUFBMDuRuf-HLJaNzELFJWTxXPn_LfDRT5sfzsyK1QV59uLH3uweaYyfnqhSziiPKCBsuwdJVF-PjBOLKGfTEcuTNTb0AJ1-XvzF-MGztP-FxKofxrQUjupS6knRLdE2Anv7MOfymPBoUF9tocbQ5kOW794D2S4LO6J0K2VAepFF10JX_qYlJWajbL0rTBf9rAQe9o-a-KjdtKfW7LUGYPKUZfrhVKmL6jyz9yGWiK3Ljhxe6JAn50FXQuYK7x6q5IgZuKGr5yLxYHMAJhc-kwcPk9Ew5EMh0ezeRh2enTBAyn9L_U%3D,2023-02-16
Covisian S.p.A.,Operatore,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_314b7929&cb=1676569905639&jobListingId=1008461459860&cpc=D69957E0862862E0&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-a48d0b31c2b8e2b6--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgRgKoaoztMcZg4wOo4tMM4_1a2XdtHy832ucMuUjQXiQDqeu4qcQ0H_-Nao3ihqO7tgG9qtfZ6vP8lGp0mLEoBD8eyZIKIjeWez0_Cc279S5ocKKYeh8Lc5eWkxZ2f5QybYAgAU-zL3Swi1eXZgoBrXcuOW7agvA-OhX0AjSjZXj-DFlul4Jk8-IEJKq06gyq4NNAfPH0wN9XJlYHfKen-nOMR2c4qGXQb47meDLlU_zh36EEKRj0upujOhjS2jAlW58KNvyPm6gMieQ5bbnbRato7BZpXU6h6dFsRqi4_P9uRD4hPXj1XrTXfDl0o3dSCN7oHi5dUZqaz1GAinkNPMgdWNzySPWw_JLiWVbVbMJumMAAtZaphpoOiWH34jtGbz-B8mJzV2Cdz75eRZ6vyZ2GpB3ng5uJsHla5g-19DO4ZUNEfg2n9wcaCPlad2Wx4hYQpRtxlJWTHfhLuhRjN9c5yXw4n828O4m8ldPnSJSUicDX_CeWOwaWNY6anhuw7NET1eCAytIndPGnk3TnfIgHPVd99DtTukDahqXOJKKv1Ps_33DEwnUNozI2x-HHFGvLQWRPGfmXpt6lxuOAo8%3D,2023-02-16
Covisian S.p.A.,Business Development Manager,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4491f32b&cb=1676569905639&jobListingId=1008395228758&cpc=BAEB662971763A76&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-840a80e14c09a86a--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgRgKoaoztMcZg4wOo4tMM4-j8FeglZmozd7mjNDtHLoFCMPezM80ZDPvqNqW0sipoaNiGrrNVdjz-xv_KV_nSoGQQFqAnyCG0xN_CKti_qUZ5u44iNUdl5Vch7PTPxMsxzKl4P-o7Tu1A1gXOUtkhEb-0q9ijfCYnEt-NSRq-Od_dHjcUu0FIjP4J5NSm6l3ke8jn6Tb_WwRukE7QQiVhknmLRZiqBp6D5Y2LLcwBL24Gh0si8IJGP_v3TPP052Yk6GVdr75TgMewUHkkvI2DddI-0vfNjA3aQsA5JoqsgSLJP2OF0prTd3gp_0l7j5Q1PIRn1TmgkXwEng6DhSrp3BDi0Gm2Lqd1BZkAxX1C-UEUm_APiVvEH_y2HDjsBE2cH8WDGnjWiOt3zFnvFDag4nbCBKp71_DQ691wo6zG0FnHr5-d-FU18AcM-OVtd4GqX1gUrg-CEsHiHJWiqRmnfnO1Hkl2HApS4OqOfUyWMyx8zjD2wi9S2CT3d-4udX9NuuqVATVCKZKndC0kGAI9SP1E-9HrO_kstarFdM22v1ktoUwe0i1u0SCt_2Y9_eR7g%3D%3D,2023-02-16
Eurospin Italia S.p.A.,Addetto Alle Vendite,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.6<i class=""css-0 e1cjmv6j0""></i></span>",24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_01866a15&cb=1676569905639&jobListingId=1008424011356&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-43b54561f181f213--6NYlbfkN0C1abZ9zL5NYIhXV7bfxDjOB5o2U9Geipmv_mrCPZiQ0iu8Xnde5mL7-oAyK2qtyyrjruc29eqthDqs-ByKlFJu3oRBZ4KMILBPN8uhvIPJNBqe8WCq4YLfVSTQ_grM5G6ZwmrdABbXH6k2kenP-siwKWHQJxd-QCToc6KA28YRPgzKKY2qyxZ_yeGNnRhB3L39CexlLzJCFpktVRycFGZKACy__oiR4zWdnas59ppJy7zsJrTiSyfz1jefJ3_Ll3ZXu1q9T2Xr42cpWdCMYiT6HERC40166qKS1jXFX5B9Hah21HtDNSTLfbqWTIJI_IjHEcWaI5eWo-c26lnpQc3ufo1TThqfM6_e8DHduMjM2_bd14RN_g2hAVFZl1pGDlCxl8T6O4g6tSlrlKyD-Ma5wEzS7MOYA26jk2DwhfEr2Jt-jcN4H1Dy_kPtMj8FsL0bX_hzpWmTrkijApPVQDtztApu9Tz4wPLSbmr9ty4XEC9V2ooT1_u4m7fzpvRDpIEKfUQdZvR2hIVDorUQct5CFwcJrhbqgQXwc1YFpI81OeR0IGT5p6U3X7IRzP_Vu4jL0geB8rC4Jwkp2N9rV06UG3GoLim2iLqK3SgilKS2x7juuX-6Y_QT,2023-02-16
Covisian S.p.A.,,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_672e0cc1&cb=1676569905639&jobListingId=1008461459859&cpc=75B6770C194DCF89&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-bcd1d2680dd3ca75--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgRgKoaoztMcZg4wOo4tMM4_1a2XdtHy830PW2rTvVVxu4dkpn_x34Zy_Orugedi2LjlTb6hWtn2WGZ4l93v8PSJu7gEqtLifyl_OySVNf_i2R54Wezu3pQxPmDYxqTaiLiLVb9qNbcnvHdOtJMOvW0HH_SHLlrt8Q-Sy6qerxNwi00mWTVosJzLJBP4qLxSXOuQ4wov_s-kyY3yTzp00V6gYMx54N_7moje3JaddG-ZrNeTgFBlq1u3nz3DIaeFHY_skD_GbRKv5uV4wiIfLHE7h6JfK2YeV4Cb94P7UUuh9GHlNtKmDLu_aOGMrPUo_CJvosYVJeE8Fz-Fp66eHoDPIvSBkIpzpWIKdEiOsxYE-STNI5AHWYX-6tCJ6vZIUTUnhN02CdE6nwiKJGIjaZN0ztRKCBm1cireISknXTAqbp7IozFdvoagbGcQ48Ts1cJuHpDSSpwdzuSNY_w781PSisiwyrg4UunDSzsicRYEFmn9cOSDifG0UOLbD52MS7MQz8trQdMm7vxkIT6rTcK8Lo_mU6iwR51snIiAZPcUbni15zRs4STS268CmxSPffNw7ktJsEwFGYXY0DyWmq4uHe_54GI9kp4ptsd4FUfcE,2023-02-16
Glovo,Autista Consegnatario,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">5<i class=""css-0 e1cjmv6j0""></i></span>",7 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001865b5a885397a58d95540a9657&src=GD_JOB_AD&t=SR&vt=w&cs=1_e0be4909&cb=1676569905639&jobListingId=1008461487056&cpc=A0637F14311B9419&jrtk=3-0-1gpdll247p2m7801-1gpdll251itn2800-85fe1dae4694b85e--6NYlbfkN0AUSVxU3nowjMmHuRTF3S5B89hvI8QGAgg2BB_O71d01cFsCxTFu5vmhYQyWRcoY1GAe_kFcGM4uQBUSA8dLxmwQUK-2yJNPEQiQnD44bsTV92zRW2vJ6kx892LWKzeuuPGxFTMj9dEckmcmUMtOuR3kwEH8fsvs-t6oNUMeCMkY_RNXdCL90g7Pyx1U7ZUn3OQ6qgZiCrdkXl6SHM2OGInK6lIjXaZGcsuLiSbaNligUBo-sJEArUd4MZapQZbJQ8gyzBIYyMYwq-StJxYM4h1LIwdZsY2FjQSuG3IO5tCr9tB1UWT-zKi8FCnoY40zEcfwXSDN8Vr9SYytrVcti2C9rtyMxcB8wKHB7xAx-c_Bxuwv1obpcOQKD8k08NAl1nN8QmCpMqgDktha6-uaRLPT0nPECmoHKHuwaDfS012Fp8LP6L0gIV2_0O8tfVEijdFo52QlmXmAUsZn5n0-gSJpSiWs2EFbiv2b2N-CloXzymDS1I3IPKjozXLGeJd-EvaKAESl-3ydzIYDBpIMePcJC_f5ib5UR6pJ6jMK_y8mVip6YC83bwjGbbZAb3zBoBC_Q1PUwu5ufJ4lyOI1tlVhpi-ymMJcT6KWqdQWJBvmWhLsz92T40n10BaRsBRKGdpDS8yGdR5qQ%3D%3D,2023-02-16
