,company,job_title,location,company_rating,job_age,job_link
0,Zorggroep Charim,Medewerker (M/V/X),Zeist,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_470ec688&cb=1675851815924&jobListingId=1008419345986&cpc=439132017C428432&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-f4eea9e3822db3e2--6NYlbfkN0DkoKlp3KZrhdMzUy9DeBNz6fk-jvwoBTOvCasu_9UH4QOIuDMngheLAMEZ_H4sxpuA_suWybtnrDeO2qEOkEXk9AlibKdjq3i2L2asR_UFc-jxbBUwaPYtO-fQH307ro5IaOBF1nZtgT9DVUta4IaGBCzgWvwl0Y9ySyr83NUo_XlCxsLb6dDYugNeym-0W8rw0dsYb9MjP9nbfvhHPMZLlwvPAHKo3SW-RXmZBNcWQ4uUC_N8tj1sRl8i5gWTRIOx-f-C7djdgE6Y3Xs8b4w2MQKVf7srJOZvLW_WA-P-EJ4AQQFe0YpA--mGP64lGgra3hl2xIJPsES2YlfANHX-hC9Jm4zjTjpuLfI3KzhCmguC-c0m6Gt94aEc-IMqehM8NmY95zLMA9uuiEjb0XtjWUsyuY_YNzgU62rM6HlEhyrziWlsY0_79Lr4NtUChEwUx0iGfUWAvca_zt9fbcrR8i-KRPVaz6loPYQWgnRKsR1WlExeFPwK60AO7Mt7fjAID1TjrP1phg08Gy_aodSpU0yR23Fg5ys7Ax_1dSlSupE-cm33AaF-ov5EeEiOLAEK68pugdFA5f2waaPmfeiDVdDxXbpF9uqtsWNrB4DQswkj3ClBIxoIROKA70xqVAqmd-5fIzIWadMYZi2LNFiOY9fJZeONMPnJJAM8s7oKXk_2WRN6dYxXTRsdUXJU2ZOwafnS3cEnXHC9zuESL7EOw0kpM8P-r0X8DJzsJ4DYCIqOQEo3MEmsuHor4LCb7w-3-9udVcdN51bedeBY6hT9
1,wijkopenautos.nl,Automonteur (M/V/X),Amsterdam,"<span class=""css-2lqh28 e1cjmv6j1"">3.3<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4286e4d7&cb=1675851815925&jobListingId=1008454147965&cpc=78DF92AC369A0A81&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-752a85142cd82bb5--6NYlbfkN0BlLVc4zP8i2o7LAkA3t4YW3qvx6xZ3I_iC5CigVSh1swSLsrwAEJB3zraorB9gWJ_6U25Vaeu6TBxiBQP4fA3lQPVMhuYeMZOL9sPdXO23zYrJLtfWOjcxojrAfPOdcVd6z2-NXQjq_xwwPzIhVXFT9uBTTbyRzd6487euTOeehb5Ub3Jl3KLZtBt6wVEsfFZPRjvC2euMjMDxUsQQVhAWlLt3fTkUNg_4eI2CFK0vD3PaDsnIFEN6x2DhHwxU4tULvKcoIZUQu-tdEXi-EzS9yo4jKhMYvwDo9bpqMd28jko-5Fsa72iCqiCCpSIe5btOZLGmpWIEMBpAYQAvqj1CiFkohlvRGjdFUqeLSg_VT04tWKmgHap91PBCJdEZxY4Vgkd6t1Qss_L6ZfIK3UPAMaT4qV5_e49ZEFwSjqmBtZwu56C-eUtEcPHX7AdBWu3jSsDqC6JmNooUK66V1PGiBq7T9RnubKFkAfBCy1rjjdPLvAJ6XLPK75BvJt_Q2iYZFGYzqRRWGKhegMBBfT6s4kVjckbyTfdBR90ZxTe6qoHy3b3Zdz33-iPiJ0bHBmRAS1s5cj9PWhWWTYg8A4FclWYtQNzuZAXpro8v9pSKReGOl_x4HoYbeDXEzJRbdMA%3D
2,MEE Amstel en Zaan,Elektricien (M/V/X),Amsterdam,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a8023012&cb=1675851815925&jobListingId=1008250605207&cpc=AE1C4A29E5620778&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-446837dbcb594453--6NYlbfkN0BSzy5Ly3xcQN8DAIuxHonf7K0ic7UzLaMdIWFrJ6t1XH6Kyhxnnb9M-qjhNg89DPYr4Xg7SHysqNhYDBXukMJGcvX5ktggRo8ZfNNzUJcj9fCI913x6uSphcqb0r34AJtOEskClZp5YMv8Wr57DITxc_lOI1Im5s5la8v6KqPmgWjcRmw0t5rOUjHS8n1FE7JmjMDvgPtUHdBqPOIELPiNDfmDBtCbqdQHSOILhGIG-Q6pMrKt8yYc8aoH6xTzlidD4Y3kQ_sd-YSw5FIypXgmQkDCtGVbr8v5HDllrYpZu926bHznJFq0FzUlQ9sTyfH28UpnbrMimq2RehHcW0rZcvG67s-HDjtgTAsWbyC88Q9ztlxhiseWDaWd5B-hfW1GyCHYWBYwXgRXinHecAPOeQ9J63D-Wtkw2Tbsqg1PwMPMIz15qK1aODDmfr3mtaMXnIPRLakbHlmCb3SmedeuAOFDpsftV-PSgwarFGPUrUVl1tShP7I04aYmCYKnMXvt7JDSkElwejmFn0diBNfRRCBDm1fGwW_Y61QrXDoyPw1oS11bwv_gt6YatJ9kIO3hM0oV6nBxmb_UpHKoxAiJS3mEcQenJ326Wbfld_rjtAqKmyhNvtn9rwTmrYmsbeW2JiCH4EKZfK6C-eRrpbzZXHj2kDVVhNti9lG7TabxZ8QVaQ8ZdPOVuZP6nyGj6t86EIIMZal85Gjao6EAxBRc1IwcX9x4NjUiRH8zRLj4nAyg_K3cZCYlHc2ZZbYnx3Xg9c00tJUio4nhsIpNAYCo
3,Consolidated,Sales Engineer (M/V/X),Amsterdam,"<span class=""css-2lqh28 e1cjmv6j1"">2.8<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_ae7b9225&cb=1675851815924&jobListingId=1008333143005&cpc=0E3815E00E71F0F3&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-81c7a5a64eb37552--6NYlbfkN0CdhS75awPfFuvtg8Vf8ysH3Bl5HEf6sppwOfUcePt9itu22MTpq9vALSf8RUx8SG-ZLUGnZA1mXM6cyd1Kx1EHdCMS8RPnpxlCvidnqXQC_RqJgEdAow-ZOidhM83SwfmxUfgqTH99deP10sZdMVuAZj6_5Z9JUWRpfgt3fN2oqyAt4rq8weSx193yyxdk5UmU36_OhYfPq-86EfCOx6wm_2BETVNzsPwFWUzijC_Ebj9dthZscniXEbR0ea4CTYFMDMkWpw3CtlYkpKWtGHqK1CBYEjb06THUuoDrDJWFzXwqTy8luQNy2mm55KOMnR01tF9L7A64bRDMBX3fWg2xSvf71HaORuJ8m-EAMEHTpNKWW6rAu-JQXsyYJCfPu7is7nTgamHfduLdi6uukrQsepA9hnFP1lKnQFo1e7yckuGl9jI1B-TiIrIxWPuIvUunxYs4Emc8gs3nd-TngVIMEdhJlm6GYGFPRoHW28MN8WIrqfztDsmfTwmiPDpwWrQKMXoLE-zAq6RLIIo7ZFYXnjNK9egfsW7_QoP1wzHDpp940OqYDR4TbuipOvJlW6upoq2e9dyqS56ycFg7oEEBXxA_30K0UNIfO3K6rOMXUr2kBKOpeZIrX8Tp1PkYTDtbOg_yyNEALQ%3D%3D
4,DHL,,Amsterdam,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_22fd7029&cb=1675851815924&jobListingId=1008420366793&cpc=965741B70148EC7F&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-9be3a24a864896d5--6NYlbfkN0AjTHVfXFmoOipxBuB7rJStFVMuUbkxzOPuezZe2cxmIlSJ6jgctvaFpB-CZeIyfwGJbcuoVsqnTUsen3ATkkJwbJza0QiqaXN9LcgNi3IzTuQnuSnV0LN__DSCczC_hnbQrSDz13Nw4oLkbWOrq9AEY4zykEG6zQK00WyHJYb0l2Siq-H56nczXm94jwFOqtGFTDVAnbZP8MGD6mLLZsT7fyTCbRGM8uQIwErqitwTVIZq-6pBqKkfy_jOaP61ZvakibILZTWBYT9v76KOjK1Y5_bVlSY5po7dLxpUQ3wACTH5ZY84WhbZMgSCnigba9FhiDUnVZQ7DVDNyCzxShW1QHPXDfQIaTlM2_rdrHyWqk9r_oRGNJES2w_3WHs2HJjW41XV_4qiJgT4v0feeeJ1FVqVYVR6fR0i_uUyaikRa-2E4xbrEqEcwesriKo3VauA6aXR-Hu0nmSDI7kXTbNJuwVw69SEGEQm1fCffBEgOKZyIX7PxPSYYoMmSeALe_lcUHs1WdT2LSOlWTawUTua8Om9NHYEFUPyJ_1NQ_-QDj_R7U8LFzZtGPhNwwApLQckwnqLMRhOwy8kFKA7AMUyoTMB-qWMbeNKdzRMIiNGWjdFCgFRdUu6CT0BcmPyUNHswHsxU12yuygWrKc0OP0RPEFq1fMug1p11Ka2nzkeT57zx15JREPkkR-XIsvE7EJKUwh1TF672DPg6ISGyO4B3Um7AvxFlhbgs8Z-eSMJ8IA2G3K-UkjJ928HixonewcDYKpJXfTash352f9a_LHKPRtDZOOwuE-EYZha_OQjRCfO7SvJQ-_6OAcEqSlub9E%3D
5,Rijksmuseum,Applicatiespecialist (M/V/X),Paesi Bassi,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_17cd5928&cb=1675851815925&jobListingId=1008444586706&cpc=37341DEBFFBD205D&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-41e35f662f2bb715--6NYlbfkN0Do5UHyvM7PNNpTTZpje16tgdlNHmWHFVCr3yeTmdQVp58HZ_icGEQvdDpwxmPldrjRyuWbrRnMATmJ-04S62bI0jq0tlyifdz00HG9YUmPUnI8W4c4VVnx1h0wFxmHd4Gnu5ASsvdGhPVVcNlNt-Wwvr8QsxtTLCK3-2oRko26plaUiECSndbh-1baxlnRSwVpSbbeKwJrRNBUw1pYA28feJ_JL9XhSorUAF5GR1MXyZlVHHtZ4A8t39Fr6G7J8Abb1TZ12j5NA6EG3o99BwhFBi00Lf838LHjtOO9o0VHlGfPqM0Dt4eIOnvRj5sPrP9kOi7PjCqU4YRgNH9ycCinGPGUWQN2BOujLcsRoAQNKs9Ii3B1vSlpOwyORcKEP8CS1xC2nxpgSXP4S3uYeDQAhr-2TTGLMzytouP_WzHMf3KbDps1kOcwkkyQxcEJ3f5dTD-nTi1-Dr02SJrVfsJMnc1DI0i6GNDXlHe3Ti8CIy-fJy_w4bnn6j4iCRNwOQ0%3D
6,Evean,Teamleider (M/V/X),Amsterdam,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_5c634f3d&cb=1675851815925&jobListingId=1008164562309&cpc=13B2A17BC67BBEB6&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-339f865fa7c4398c--6NYlbfkN0CqqBor3g83zuCX0-LJ9AH99sr7NK-reXKkfZiKYA3ey0Oi3998UPxa9_3kB2L9tAr3CPY4zA0Rv_izKwe3RJ-9HGZ-5Y7ZSYMV5f7wlb2WsGw7rjWwboZHe9xRJq-KYrl9QMDMQhll-nMQ6U1cst9A2iUwSK84NKP3W0PLXgziZx1voHQtx6fT6Chxx8tbDP86Qcf2o7bKNbStQkQSVBftRQVW1GFXQoQ83Z713Y0kDUuGp05_--o98Q6CGsSvX51iglYmqimZayISeWuTbt8NBtYd_bJKeE34jVYxRrEHpLjoYJzf6RaYdgtXi74WJ6hQ9o1nEc5vx5VjdJ0bO52WfDigBPdcPlyO9gxFTiiwcvojG-56xcc9usEsc2vLF03poeZYe9Y1A3LPdeThpWQIi7ejEqOtcp1CqA7sWChNH-VNUFo5HPPOg02aZTG47858hbJ4KVk-3KrbhQocKJqohZWQZ37nZLkKOtBLXQM9NLhMeoRy72GJClYiYRFXdh7i_2l-WP9b2TZ6Eq76G2ZRA5PVnxhS8PIxSAh5xYLuiyR2n-h_4qqpRpbrmRMOnt59U5rXKCsDJ9ZImi_W3liv7jzDNpBYECGddNHsUcx1GWLXLo5ydIkFKRicncJZixZvzd1Sbk0SYdp_aWXiLDdyg6OPs7GkdJR94_ZytMOPXn4A-ovCOtXP
7,Maandag,Factureringsspecialist (M/V/X),Amsterdam,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_88bc7fa8&cb=1675851815925&jobListingId=1008296150412&cpc=F503233C73B66A1A&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-1b14d44f4712deb3--6NYlbfkN0DqswAWAkr6YKETq8MqmS1Qy2gD80AwDVRJhVo248hEGwb756YD4oHRPqNkFvHcNUfQ9LL-M-ia0WSE9UAVlfAeiO90MlW3KeCGpSWYhfrWrK6SRvtj1GNtVUAYWra-5p8rxW8hHnws_eMUco6sTK5ECwXuUeQFCgiSDBOnEA0OCWqb0ydoVqeu9mxiK6OxIcGloG40RpRoOFKSkpbDSBOk2JYXxrrytiShX9kDtbJS2K8eDItUY3amgFbCF11hS_wl0asTY5SXrJg6oAHoeVc9U6PedWoVk7RSsSdZUe6EoZ3yTPg-8-Tq9YKhKn3vzsddcwiA7tXP1Y1EfFlw6cMkqJOa1P12T0gdK_S1tH9-TlYOitsm-og7uqBdOA5xrFNMIqUO9LTyad8CaNnfvOEcOGXkCT_i423-b_mvSfqIyWgoa6QIfuBPyZLyeyyLoYhX7l0QE8ssqaPHTLu74UbKuo5f4-sXFA6BdAYubKoNpHxCfpotCMRivTgu82vhs3vwQd8NMczhfZCy6ZzUiHRfVzUAJksu4O9-rxnW6REP2yWGVFc3_Vt5kyt5koOJMGskaZF6NWIvBkjBKalo9nfyzQjPSQ82Wf3L9A_9yhcKy2D6K9_97Av_x1HLTnEZv_qOlE-OoRYOu6tMcL2Ao5ovvkYKgMqphFgU1_6swLkkRX_Nhy5rN83Q-y30_SmH0ANY_2CXlutPRA%3D%3D
8,Onze Joost,Sales Coordinator (M/V/X),Amsterdam,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_0589a432&cb=1675851815925&jobListingId=1008183231364&cpc=B46F3B5F0A69FEBE&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-5f93a84c6f54c93b--6NYlbfkN0CoC5q_EpciWEecTv7euTHWoJ1jvDElRGLsPev4LnkDf6HvoBmXkIJYphYODouJbGA3psee-YN7AhWGzerRp8w8Vx-mAnwgC70HCm56DhUtGHNTwzHJdfZ29qcncruH6AsaKbJwRhqZP-glDcaWSRoK7nS_CkcvqhqYr5960Lr6SsGQUmH5stvU8iNxNoX65SiybADQXeo8Z2go20LCtG7YRr6GXipIXOGzOnBXhfGaIfHN9bJKwCPcfgKSAE5c5TDnduBaPezoJmPuLYs9nPX6h687cawg07mf-H0yI_er_qZgQJwAewLlRqg4FIXAWN1uhZPs-6HVr4xkcQGuNBhhX7gM_aP0CDyLcy_XkP2JyVlxCcZUttUWkeFOutmm4_uuuZQYlBZw5tkdZLlx7ybcb1GM_WhPo-tNA7iNpCkJUcFK_Qrz7KaYXO5MDvLGMteuVc9jATNhQ8LHpIIzxQlFxkezKuzCnBiqLICHgGUjeQfv88Y6_UhGgMpmiFJus8uynh1LTjjQ6emdM82OyIYapvA2vz-hk-gA0Lst4MoAHFyTUoIjCkCr2vu6BFejFzrgKOOO-GrJF3JWAOSY49bDdfsdOhIhs6_zuVM4pd3dbi-aiNPttidk2yS38Yj1kvY-WMf07ZY-Q21vr02as7gc
9,Rijksmuseum,,Paesi Bassi,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",8 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000186308d58a0b6bbef4a315bb7d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_008debe2&cb=1675851815925&jobListingId=1008437991617&cpc=B5554D7A5CE70CDD&jrtk=3-0-1goo8qm5uii1t801-1goo8qm6ih7hd800-a883cdde6d6f1c4b--6NYlbfkN0Do5UHyvM7PNNpTTZpje16tgdlNHmWHFVCr3yeTmdQVp9x6IKMoLjS4D4n7XpJ_85PZHBf5BoTe_ScX1pMDkTNJED4cPy9j0hi7QI299nnZKrTP_QjyYh9vD1rJBaZ7TjX9LetZaExQii9AiTxAwnUlvLz1Izi9tESdPZ4e6yI9TwVVHKTriPoiAeQ9hdU12XNPkY15u0S5wpppCEnWd2XColGOKa_HGKvk6dPLUAIjb4KNEOoVYcJrHa9dx8KgOeLfuRHiOGt4fkAUtNALMBVRU5bFpVqnEceXJPFlckHHIP2rGTmBklG1r2gsitN-sG3YL2d4EY2o4LP_Fa7OoHJSzthYTJhlLPk-JT82fie6J3rcMlpXrEgEZ5bADZcCUb1tJovplmdtvy1649ugnjbxz78bM1oNYv9AwVLtjY6L71sOQdADao-yXHBb_Hz_xeQwV2Gaj8x9rqueg62s4Q_tlUFgponam5w2zBzYkaMaeW_CX1aO1g5C3UpD7--4PJ4%3D
