company,job_title,location,company_rating,job_age,job_link,run_date,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento
Saipem Italia OFFCO,Security Officer,Italia,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&cs=1_b06110c7&cb=1676883068422&jobListingId=1008474128563&cpc=FFA730268E216A27&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69vfh9C-uFvRg1cHvsAh8q6Bom-HtFs-p3feZeKlFXeR3at02KT14JBafnAufPaPIG1DEnf-PjvehcdXzwCo5bDkt38324Ozi-NbIX3mEd1jwEslz1YiBnIUaIMqu0eezHqay7Bxlchtvy7AasrvyFQkRHx9gCOwYnsGeKYqwkcG2r0wVnqO4n3WqTQrRn1d3eanlfhn-_7ZpNgzufgzsJcK5JF9WI93KQTFa01uJN5yyy-k69Ds0kCQsCaDo9fvdmhOKvSmDvSO-27fcm-tH5VSSvfUhRryODG53qNXcv8WoLCGLtLAPDSdMTid0jWBqwHI_5Vf3GKC7pDFhvhZk3CWzUMGhcajmvBwR-x5w-tijkq9SPowBZvhxmxcNrqWLZwymxLR3hkKHV5n65TCiIibK3iCuNkU-NAwzgF0Ma_0XjoGxZzvI-0aMjLgyFwJ5MU3fk5OdooibG1P-Vz1iYkypPDTDcqQIjHSF3l3UjKSL7x0fCnY0ZkV_NAV-u4qz3phN2VEnLWr4PAkGEUVGguo4kuZycf-28jJ5zpZzTMYz,2023-02-20,,,,,,nan,nan,nan,nan,0,nan,nan
Azienda ICT,Junior Sistemista,Olbia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e7ae6a6c&cb=1676883068422&jobListingId=1008417158601&cpc=3B54C55687EAAB5E&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-0670c41164c8af6e--6NYlbfkN0B-DzYz0K9hhj3p5AE_L5Vh_PLfQs-nRxNPZjOOnIeZ-HGbwTh5PGRHzTSL3bzg6JSnt71vLMSVzmED-fnk5-SzqsKbwAT09SzeJs6x7tp5WRoxoHOsSOSiUswwXbVpwxzjm_jgu_b0CXGAXbcG64jqvhnenQlL0qZqt7MFG7JxDgadAiPL1YjS1cUXhcYbN2eOOG1gMznpDxTU1VuQZpli4M2p0IioqCDuNNGy20g_XXGw1takbkTZyq-JzYFx2bfaCCDAiGJy-_AX9jL_WF_BUy_OPuP5dUFvWmRD8ruGUx4vQATCpMcFp7mMP-5w1Z473bnAS-rsR6N0wnc70Wtw7i1fZ_HpbcdxsoArBcXMq9PFhHjR_em3k767wLsGKb7exMffD3_BBSUbLj3mwsdEsRYlH4h5PeSWy3DgSvw3wo2JhKwfejilpobzTmuw935VKGNg1-1lJFRU_cTU5MKD-mllbeVaSFXvfzhQtrjJBUFQMskeApyX4dfPKe8r6zFazuJepjWbbIxZeed4nK8tFKPSr_rUAiy_DyC0HoQWWFcZHQlIz5PxbT23MntWdpI%3D,2023-02-20,,,,,,nan,nan,nan,nan,0,nan,nan
Adecco,Tecnico di Assistenza,Cagliari,,20 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&cs=1_13cd4558&cb=1676883068422&jobListingId=1008437879403&cpc=ABD31432EBADCA3A&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-70922d06aac29a2b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKda-kTTl3QRmj7tRtVZSm0dJKaHQ-y48kgFVljL9XBIVHbIpwbl82A58PIu0oaAHYHOhw5L6Of98j_K7Kkcs_YSYIFvmm4BNw6Iepxd__8vs25U1hQ91O3IRmX-uYEf_WweLSg1NOpIhziEgrYgGpWf-dbhqtIFog1JtCfQGsX_hZmCBi0mcC1-LgDfKRBJBFitK51nW1DFhWQQAHzwJDH6T7HgQc_dy2oB7SqVZQOaIeps2HZ5mbUXYPcn_MWLX0SqyJ7MQTakiWV8mauDf-pQgYvynYY4dpQOkv03dfWHQRTwqP19rzieD76dXVMwh8KIWEbIVAg8o_9CHwdwdHFvA_EqS2Z_rHO01Wp6cNJfcPLh1svaSgjfj9ei_j7FmJiHspnd4shYwlc-wR7eTwtIymAKuwwXMi-Hz7HZ19GsF7NPcqPynKVd9bpCSbm_XJJC6NgvXBYnwdhFpKWAzBR0RNd_h3vdxgswdpFEeh5ZvV7USj5L1oMw%3D%3D,2023-02-20,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
SignorPrestito,Account Manager,Nuoro,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_51fe45be&cb=1676883068423&jobListingId=1008416167071&cpc=BA005B1D96992017&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-5288791c25fe6ebc--6NYlbfkN0D74302Cqkk_Z3RqQnMiVOiakVDPjdvlvTMJ0Zvlklid3hBA4B3DOY-8zl5eWAaRv15XeGzC-hlz-gfvfIzomaDO3zynN2VuTlnnH1iC0SKv92ub8SlaKAUgkWK2ZDsNee5RShAEn_BRoA7mrkACPdmwGOx1KlICyb8-zmXiiD49rp7mpfW5w6yyahXh4yt1Wt_ohcHB9vGFAOTpHYJmHkr2hRlKf0SgL2MKD7svUuRSTN5mcwDutN_zS5i14ODXcwZ_lzxL13DJyOVHPHX9M0LTmsxcWeEAnQ9bPu5bKMQ7RnElbwg0smVT2Xx_rf07VP_8E77pEra_6R1-RSnT3NtKqTaJa6Pv6c48oFK1kSYS7bwLNynhYUGsnWUNlKTBZxs-cwUK9Dsc5fuZCmmFJOu8E2m7tBCW2Otu7TE65rljtI4PDXoM-LBthLDzvc7j6iRJpocKtUBiifl8Np9YN6JN0XyaMr7uqZWKn1f736vTHhlN0AP0uQ2z3sdfugl7v2NJw5q7aqCE6fXJ7NU-rWbDgRErm6fK9RuaVo5L2iEEKt26zlwme4yFC_aemhHr7bcJ7d_4IHTK1Yz4AYEFOxsFbGDSFMLHSzJnvTRYag_7w%3D%3D,2023-02-20,,,,,,nan,nan,nan,nan,1996,nan,nan
Marion di Emme Group S.p.A.,Consulente commerciale,Nuoro,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4a63c793&cb=1676883068423&jobListingId=1008360605579&cpc=F44B5BD681589083&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-e4e0b1105bf2f1ec--6NYlbfkN0Bf6SpvFAks0P7WlvdydL4-TMXhfTE1wcYF18NEx2q2VEO7egiPGX2wpSEGbSXOi6KFMjOQd9dUI75b5uWlkaw5gviJPRBWK4mvhr4BllJg96_aBTjvCkkMwl4EfQf22TFL_XF0qv2Dj_Br7UFAdyLPlkfyhxRLBEKJC9s200EtrBkxNPuqfw1yAPI-0-DLueQmgVqo0wWlAT7Uo0Wsw-PLKFsCv_dFxL1sAteUin2DKmOPeA6vxVb2gty1HWY9ijPeMDQMq99w5RrCJn9UQLnCHPAXdTe4z_9hwiPQzH7fAgTr0jCOiiMxonekmAxbuSfMKDJKub26NKp2qtf_Xxuvt0mSWvuO6nbOYHzFxTyz-N-Fk_UwyUxPnxzorqhQHcyHAbxW55lYiWvfACnS8146id5vjD9bOrEfIoY7pnO2zXxlYmJKFwxq38RpWqyCx1kWYms5EoFHtXSvOhvaYyc7tffRT8Hn-7fp2MlG4vSuzGjIKVWuHcSkFtMXCnZgJtYrjg7t1E4Zw5a8ViPXxTk3G56t1ShzG4wLvr9hODnhhoM0qZL8Qo6w1hlRTptJ7q3gbrgPhbSSUmN0XE2413r2_s5szuDIaSs%3D,2023-02-20,,,,,,nan,nan,nan,nan,1996,nan,nan
Soltea S.r.l.,Ingegnere Elettrico,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41353c5e&cb=1676883068423&jobListingId=1008188871680&cpc=D3F7CB07E435E2D0&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-5708d0c4af496c48--6NYlbfkN0Ddcnq2VFZOBqO2z63GwiTUtvQ71HjfFiSh6qqMva3d6dfcz9IZH_fcfurtF45O6el3vkwAzjRG_EkV60Gtki8U1DC6poDI5JECSJ9q3u1_Ofu8ijYJMnmaXjBoHRXlQx2OW8pPeC7Z8M8NRJy6H8AUMxTmi-TBc_iWo5v76xh6vQ3OppPOY85hraKn3d6Fd1u3nrhTZuI9a48Kce43IDcipzwfSkyh1mXA1fl_o5XUVRYOftN_BzBvzfU0dESkHWQYPv8b-iHVvh0mrXsAt5M7PzvDoO81XjMVtkkR6Wd7TEX3bnXfJUbb2AbJsmZCbNoPrWh-kSZVFFop3mcjs0MaJp_gqazpH4JooHZ3aiQHndoMcqPgMXSdvTcVQe2_UXS5MXuObklp7ivox5ypJ91bSuHjqPdVTwMPl9xRRQK1fEFGGsF5Vh1C-U5sHdIQfX6Wyyei4gsp6p0gMeRnDXwkjMFbT5u386SSprxOfCUI5y4ZrQSfMDz6E6370oFT7tiM0cvlL9zNWffOYda2fObhJqdyRK3FUcty9iE0woDAsrB5G82rQSdDNPx_t3u2AVA%3D,2023-02-20,,,,,,nan,nan,nan,nan,1996,nan,nan
MioDottore,Rappresentante Commerciale,Sassari,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_057a925c&cb=1676883068423&jobListingId=1008475690721&cpc=F2E91DB1AE7076E1&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-d53d0fe9e372a984--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXqqCNSZhnZEzp4hc4sXcmq6kQdEwMuPZfTxGtEewmz-7yXlAl9m-0bsZgmQMy_QKkHBgEmJlyoc4uax9hXiLPXsbh4wj6GdFEwVobk4PyU8DcWC4Q7uy-VdsY2ag959Zav2o4jCFUo0liQIm24Nj5KgIpVZLbboXxYk5hYqaBV0A1l0L_kkXDRTg9SzDIhOXEQ8EGI8f2fjlSaykz2nFhdYVYniFeQOqMHM0qaWJi4PLzU3x_n-B9ShIRkbO_3n5d0sCWxFYS32oUk6g_05BQGaGF9MJ2zud5g2mcl0ZwRpeyz7n45SG8KkTACwlCBv02_TJcX3kj-bSdwHAps8zO9TyAdajICXZZjOMq0f9VkqRl6cxukWVAEQbB3QsRoY7fglB27iSPnoiVuCKHtEaUU8cBiud2xEsfYs-afNSyuJakeoe2TFBoVd15AMw5tJe4Cj_2b9FCgGWn9Jjp4h5vqOx4S0FgFvpiCdFodueZ08YFrgNBTap0jqYCW4jtdGd9oZH6knglQky6SQ-DmIitPIh_Y93DwYyh-d56wzsCeR82KRwfC2YEjSHgp8Oxk6BckptxjdcOAsQh7EmhbSVaZJpTM_onpoYyA%3D%3D,2023-02-20,4.2,4.1,4.2,4.0,3.9,"Roma, Italia",Sconosciuto,Controllata o segmento aziendale,Sconosciuto/Non applicabile,1996,Servizi per assistenza sanitaria e ospedali,Sanità
adecco,Autista,Cagliari,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&cs=1_d87dee0d&cb=1676883068423&jobListingId=1008481189763&cpc=81AAE51C33FDE227&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-9e393026fd52a7d9--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o5Usb_PhEL6DtRD-IC4RSF4huudmPtyEVPJgLrDtE-3r3lPgBuEvOTL1UKWHRnxO_5oNANcyZVpuuHmk3m9KPQ4fITITLNs8pKPAR8lwtZZWTUobWuuocxr0LrceZolGkwHLEIaP8ILG4WO9jEU6bE9TrOaInAOL15NypiV-DJi5k27zBuzTs9Tk10VaNZZhxPSsI9UhzPPfvAI8-jSc1yg4AzihpBi8BPCUwrCApRb44tcHG7KHN2-7Y64cwEdsu1gTTmY0wfra-o9GIpXXKH1GCB_JcXwh4s9DpeNIIqkWPx3I31VhHZz0lHJUdZKJKWKMNlv7DpnyTJbVatYLOsw2Gr81PwOqeIdHzyTR4ovMlHzI-7vUBbMU6WRp9FlRtuq6xyclm5kjO_vGWyvCOP8nvJqyYkJPx6en1VBdf4rJYIYOUmfKWKcvtnQkYETwWa0nbm2hzQrSgOnNVR1iUCVCPFOo7ObGfHa1RTtb9-2MPloTcIQs0-n3olSZjRDoTsImNII4XmiwadMJiE45dQd7viffxg3IiQrgIKEh0teDumI-5Atn5V4deJYMb10lnTYCepYnah2fITGzDYJ-QNB-LCE2sZ_GmCWupGKZTUggTPY-cdnHeqPFIx5Wm_SWO6M5ZQXzWgwB8lnQDZNmK0F3lF0f10er9AnjFrjAkNb-E1cCXitcO9lY24gG5tuXqcEaXezO_MXwdnxKwiYQivLeBHGXOpvTDhGvwqmT1HtsAktMk2uh5ezuuuUohsBVkJ9PiYmSn2tXEJwVRSLpSaOEimdGu4Zv9wI7jIWgRa50A%3D%3D,2023-02-20,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
adecco,Farmacista,Nuoro,,25 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&cs=1_79dcbebe&cb=1676883068423&jobListingId=1008428775534&cpc=786328B4A40DC555&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-0d2f81e9fb978cf6--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKzkjyBSgDOWMTngp9smi6RLOfZUivgPNurTDSLgi4e1DM-7dqnKgyO2rNeZjD1R2-1ktvWN4Cbylp6BqH3_knq2wDNMvFPRX8sKTy7nksRtKe7nFRp7Kf07rXEpa4c6tN89ACg2u-aCkrPrwDOkz_XL8AJ1RR5hXkYqARMpU4n1bhWP4YAGYJT8eJxmqv6xM-A-35Cku4EYM9xCmGVrU0KysMp6KUcR6lHtLHAByB_hzJvZ8FnMPEU-kENQ2WE0EDNanv7rdy6OfVP4H1DfardSk73fxbU9EI5WuTylxZXcgXbnHQjrIptzl__kBxeTUAAe3-PX4GZjdGvue5JZCi4yOTRfpDB3f5JQQ0AADV_mPBG6WjBI0_RJaqUwLl2I54ASI7jOAZhfsM3eZA67lMFffm4KdC54tmpTCFItMvm6oeChmMx7MYCNpXAJ9G7GxaEoCwITmkj0W2lEJ_kCDYu1FAODELtSfZTHCmH-oLgGX52fBuywBpbsTR-Gqc6jOtFSbuxA0q66-VWFEyXx-rGmZ2rNv0LVy0bo0Xa8eLfvi1ype2qL1ZCu10amINCgd311YQJtHAvFmXSogPaUQW8r00yymN8RIXJJHF7Uht6dmuLZHxvg7NLA6IaM-9tc4Ez3D0pG_64X0E5NncEkQEXVVVMJJrmzeYZcPmvvgVzGsjcDDQfzXvV7ratzXwSRmdkZ_4I_6xoZtlGlzAXDMSRtNofrmrz09-iwbccMbyyHpE34QbAo6nOGiVKLLnmPs8k2_cgg1NEkCgc-lG-YXo1g%3D%3D,2023-02-20,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale
Ac Agency Srl,Operatore,Sassari,,18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001866e0504f69e15b0b391fa5d20&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_83371903&cb=1676883068423&jobListingId=1008443911595&cpc=65CC663E25211861&jrtk=3-0-1gpn0a18mnce9801-1gpn0a198i6ie800-f6633ec43dd4737b--6NYlbfkN0Do2iNrrABGoaj3tb9Qsd3fK18irI1olGtbGaREG5mLliUOyjmh3g2JbXdeIk6-kvSCu-XbLC9AmyQ7ab2JedB3INtpuKWDqjMP91-F61vC4lmdU6TiPg81Avn8xEWmuco7I0nwx4w4WUhBRQheh7v5rtRM1YsWMM8xBwx3Uvh18DcATfXD_jL9s1-L5fDgYY6M9-nWHkx6nn2PiZBuDxjlX0t3rf3nZhD5GDYpGfHlpEY3lPVFiExIn_Uk7qIGyN1bhrvt4cRSbcwvDcEhnCKZi6G8fRweu_EvwqEV7GvDSJUAVMZDrkdE-LwxB_KqrmN26RQdmVYwYvioyr2wD-TSSIT8-yQH9aRBe7ma7giV2Tqn5XVGgmNy9oISlWgCzE9r7Zv9HLhVdl01fSmtM66msdjHflNsk-6gPMp9NgkBU_moG1cX3dzsrx0bIiAs8b-OBsx2v4aTnoeeHNwk1XIyTD707TSJWvv1q85S7GWiIjzoz9_fwQvayug1WSvmWbnxzGIBMy3iDvpE_ZE9Yhs7y2PtnOHEjsnqbLouA0TiHBaTjQZyFnMssSrr0HKQqCvf2GApHWL4FA%3D%3D,2023-02-20,,,,,,nan,nan,nan,nan,1996,nan,nan
