company,job_title,location,company_rating,job_age,job_link,run_date
Enel,Tecnico,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&cs=1_d13f292f&cb=1677486631178&jobListingId=1008397670761&cpc=26740BCDE5E48596&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-e5a35ee23cf6a6bb--6NYlbfkN0CBHaPzwePtESWOPLxr8GjpAQB3H77KdSh4iennyXqtorRVeqfWE5SCBUPxXhGmICkD2GSDTMyPcgZRZ8awxo23kZfW8OYbAbaGnR2irZXpfXQAqSVnOHES89ZQ1czA2HFO7xvgVH1d1G7CKh7KOGbqF0ZFaSThD_1CGROMc6mec8IViHEyWTbh5QTdqZCNirpn6T9BXIeQzsWpYDYqgI_0nJrEBDN54dNfob4zBu-Z6SfBdCgJhjhvI-4mL61MSogFE2Xc3Ftg-UW0QwwHsc6E5jWmddmWz0O57TnNru3k-ipcwVhHuXV5IUpJetPMce71HPBv3Lcn3AhevBRGQK2YThM_KmuBGiX87AEt3i14E7IhnnNRPmn6lS9uDc8_9X1liTO4DehfJfiyhL_0RX--oRi8VjWoPisxQwSbhNcFq3E3cZcg40DvG6fzGqlZuJvbEmNjr2EaZrufFmWb-euPj87yKym2zrzSx6HsT25OVmUiSz8SGr-Q65CORBfGcUBIAPOAEkz9nRNkDGLgluOP30Q6X5v6OMeHhuLOFiBYgeb8TJvoDVYFwYOfsxKKcp3LDke-GZXFn3vY2sYVVbKfBfhGu4Z2EWk%3D,2023-02-27
Security Smart UK,Tecnico di Cablaggio,Gioia Tauro,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ea50d426&cb=1677486631178&jobListingId=1008385430211&cpc=853DEF62E69EE75B&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-c0d7da6b1b55fec1--6NYlbfkN0BihpavUZJHOoacPrkagOrCSsYnUiRyK7w4NYQUkxxvAi6Wc_yT5-vioJl_iiw_v1TavSlpZQsm6aMWRGKd0MLMh_L7v8QSH3qOr-15pyZGvntup6PoQOd4LH3iQjl79_JVxkKiaYiZjI_nhfkQuA4Cq7DvofTg0rFXJ8-c_KHqlH-ZLDdC4QLV9qSlIkQyjuZf94kxKNIbxfCRp-WZkSDnUC0DUvwfU5VJKaY22Ua19mlW0wt_pnUmuY8Qp1o-f0tKF44kaYJSsrW2erm47WHA5ZJNiB2LdXJJiCEY8DPaiio1UxUJsLes4TGaHDu89qVt78KOAcpqQ12OHja4UYHty9mU7IAC6_bWzM2eXkiyS7v0va6digVkhnw50cDt3F3aX4mz7LcRJpK8-plM1eZbeH5ciaXzBDaR1ZYM2XWqqMfeDBP00MtGqIimQq1wgYmr8CRG2Y6mqK7Tu6zjfNcwCg1b-vYK4nSq_l7qT-NlDEXxQBHdXsMPnVqWDTCqPL4VGnrJgT7kPg-KZCQ_vcN-8tMcLgSJJfkpJIYX28lb69BRwve3RSOUF3DlIkbQ-dk%3D,2023-02-27
MeglioQuesto,Coordinatore Vendite,Sicilia,"<span class=""css-2lqh28 e1cjmv6j1"">3.2<i class=""css-0 e1cjmv6j0""></i></span>",11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_66857b12&cb=1677486631178&jobListingId=1008473534436&cpc=71532419B2302243&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-6dbefaf5de373b83--6NYlbfkN0DsGlZntYnfNLCDkxWKyeSlAU7YMYuzOayEf1PfP8gjyNiMz38T3ifnndKqpaTZ6GY8lFQdqU1qPZYgYsJJvPYjpfUq83ApooHM_bdDfgxqTBfN8pt8TPWOtRe_f-3nwv1WoXXvDHjgXcSjDiGk6gUsYvQHXJ1ynxTV-JudRsxHz5stvRKLObBV54V702VEBc6VAW4f4_AFZ6nOFs4CKBnMMPHS4zXRYU6EQHQmHyzzCNX0r-WphVKLfG9JL301kO0cdrPbUhcchvHOaoolvx3kIRbHIzRueKZDzR7t87qwWMGZCwVDKWQG4R8O-WiBLslOyA3c2ovyayBPoel9umwsm2jPwDtCP6z5lb4UJQJBhA4hXC4bWyN7TsXhKL9fiBtapJsxStdNu7YgpqrZalxAH_DcTy2QVcp7sl-b9qa4zAuPWKJCw5N4uYhFRzLLjKgMLlLEMvBQ6HEIew9AHGrwfBThNMDIb90WIgK_in88jAifJPlFpyuNRLsUb-xkz6VE2qMqGEBdKIUG0x_ChF3_LBq8GpTyXZ0W1QOX7ZP_N8pjOVaCp68WXjq-f6E1Od5RPKOx41OHNkeMqlxZzNka,2023-02-27
Polidiagnostico SaDa Group,Infermiere,Messina,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0eaf8a78&cb=1677486631179&jobListingId=1008489956020&cpc=545C0D17DAD7ABB7&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-496c4087db7e6e9c--6NYlbfkN0DL3hACtCTJgK5wOj8MsurH452nZ0fXmhMM2L_oz6c0RG4gbeXmfaMMY0rUTV-RfmIaotke1d397SaKk6I6-XqQda5Dw6TxftteQt7Kec3nih-l8T7fiOXBIYKTZh_WwoUODulD5yt0pxGOm2NNfhdUT0zvY7YPPEp46tSXk5b1A28pkGLycfA2H1rCY05xiAMbisJhVCGaeZDwe7uXtFtP2NK5-qilRNMadBeMpYwI4UhyHFyEJZDPzO6WvThaISwiuM-gUPlFxHJ-bxDR2X9QStEdqDvefoBtRLF8dquMHVGGXac-Xptxg1kxBu_cke_gwi5rQI7n6oK2lKX4u842jGVQtUkRp3mih-tJPNlf1VNQI278Z2BIpTLrnrXfO2ZiMvg1fDvutYiBf8dk4qjd2eAobHhXXXRQ9W8hYsm8wDJfYvearpMrtopOejwuVvyH823XLtbIfquVcRL8QNnSsxnfg5vWTJylS9GqTLQWxFh7oy60MWUTWALolHclhHVTQpm35_QK8d9koU3alLFnsTZouJ9VVtvdUNgnwLWODdeyv1sue_-5xEAKV8K4PVcQPqNob8AOoQ%3D%3D,2023-02-27
Umana spa,Ingegnere Elettrico,Messina,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&cs=1_25a3efb5&cb=1677486631178&jobListingId=1008489125598&cpc=F7A2269C793D5877&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-09af556da1e00b46--6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBKZdwsjGyz84gUGVgPPKCPo1quylJmAXAuFM9BhKHOeTQ-S7hFnssynkGU0qGU_tik3j4OucnXACW01vDOXfZiH8-U07CgjGwH1yMHOMo0o-6ZApQuWmlWj7jxBPD7v6s3vqO1mnYr-02QC6z875zzYC7LsBeUVg9f0F6QrKPggIEcVDacRLBVs0o5k6b8OfpUoawM7r7MN_A5_9irmTtgKuCMrM1V76MJjobNBpEAzOn2skYndeqre2oskkY4VXO9v0_-r33meR0fYLNBNmJ07TyrMVX-FXKcm7vvoPHK3nKl_KZRKdNXg7MvCJn6Rfxz6EDYS_Z7Iu3ktikeT936XtAPVwBfyj-Xbxa1dpL8Vr9Wx-zusIf3o3nOKtX_NLcSUYEIhfEk4NOlM-sjPXbNAD1hFM2NN5GTr4gygUYqnDI2ogphXC--W1yzRmhS9D2WiGOzS9WjyOitOPNgrMv8Iz9_eaVYJwsuZYP5wjyxFItW0XXljjmYo06P3nQ-MszVxxApr0a1zYWRJ3_KdQv_qTDmb4zK__tA%3D%3D,2023-02-27
HILL - ENERGIA PER L'AMBIENTE,Rappresentante Commerciale,Reggio di Calabria,"<span class=""css-2lqh28 e1cjmv6j1"">2<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c70a3e5d&cb=1677486631179&jobListingId=1008271035404&cpc=41F4513DE90102B9&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-d5ceec0eb0d0acb1--6NYlbfkN0DB3mQYBblaU54Kn6Z8l_cgczAW2ExmgFcbUc_SKjUHJ33TVzPEGLE9swllj_pXRnSvbzqaoHMDcxLUPm-p9180mzMYl6Zfj2YNI4c-p_dZzEL8tyC6OrmI_u1zzsOt8Yev2Si3ON6BdKPngOGoVtf4AppFoA3nONFROjw_c3bbqKSJPuij2o8H3YKEKCpLMT77c_nM7vaXmgdKTN2x-ZM7jPiMSx3wyHabqP9Zrf2G7ocJT4OVxV_gH6yp0gjA5DoSTupBDP47dWGnAYPCHmpPbUPFjLTdIJuZqLKaQvnllGUCAo9CIIbH5SG5khnMpxpmfOMSzzU34yOZRwGtTffjPIDtGsyzRLn2yGX_dL64wLtcSCOjqYS3DmrTIR54ZXWKg0Mi38h-NpE0qYJu_v6_wKI5Qjcv0Ng-PlG_iJ19nKg0LrYlXWlgNS6rgUV52kL8qFE6OzIJBB05-G8OIMfXjErxMDQXPRkKssDm8umRjjqH-KFBRgyGAdi-B-7BR4jy9N0NyMipwjYWGQisAHYIDRDgeGr-nY7t8s5UrwK5wBry40PTRvV1DM833pnLlW6DrzaWfaKeBpQVK29oHbnWNORY1j7m9sEY3HBzDfxMETBkUO2gLRJjWxcepB0FRrvWC9vkW49p9Zf6jSvSJpKX,2023-02-27
Posytron Engineering S.r.l.,Sviluppatore di Software,Reggio di Calabria,,5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_97f54900&cb=1677486631179&jobListingId=1008485018306&cpc=9FFE37255B2C047E&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-37107fb108806f2e--6NYlbfkN0A-OH58_yQKUtJMzR0dxF6Ad0yjGhXZdY3ECb6Rx8jw7dFewcae2nyyzSb8atFWHTfJsG-viNVFRAS1Rj-xDCTu7W1-8rG5KagxVO6BTN5oluA-ClyMifgA1iuA5Aw2LqvH9x05bmNKI7NItuD-noQ30WTVAuT7BlJeRM0A_eCL7WUXSVuPaQzTwO3aDMcdS6UHt72CZhiIh9cwkJALc7113n6eacPrcWYP9K6n3GHuYWt3yWc77e1zIwu4aEvrVHHF1Uqv-ZeR9IrYKlLxwcMGSF-KTktEWoNKGrNMxOCOaDeMIzEmzJNCQBIW3wz4Mr7VEmR5WtTv0LIvUJvMUlabNY9LjoA-AbzLqCbplIkvnknQCmbCDz94fOdGdjleBG3FMER1au5dKSa0AiUcrFmAUkHSXOx_2k3C-095soelkeNOtiMXwyDlFqwJsRIfVTyaavE9LK-ECbkOfuY2lZ700QtzAjOaSdzQL14p2LzkN1o8xN2X6UIzGhlDOkbJ04biPE6CUbING-oreFk_VFoWB4b-4ZBF-BqXHW9Y0ZXOqrvxjVNJGwnPmSIcjbpASKw%3D,2023-02-27
MeglioQuesto,Consulente commerciale,Sicilia,"<span class=""css-2lqh28 e1cjmv6j1"">3.2<i class=""css-0 e1cjmv6j0""></i></span>",11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_92285ce4&cb=1677486631179&jobListingId=1008473542586&cpc=88C71AD61D38E582&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-b598b6417070e150--6NYlbfkN0DsGlZntYnfNLCDkxWKyeSlAU7YMYuzOayEf1PfP8gjyNiMz38T3ifnndKqpaTZ6GY8lFQdqU1qPZ0_xzU3JuVJsSQkgcgijjHnr8_nJDtp3-mN-ZvmtCJ_6Z4BsnDgOSkQJpGj_0H8-pAN_QrzV3Ewd2QRwcjOhxQlrN_M3FejvzgL-k7nldbCqEHTb26Fe8gGNdG0GCF3-uALbqRas-QfZ--okT7FzH4o1J_fMGysjxv-vqTNuWfft4cS3T8Z_KO3i3iNO6T90lLLn-nC-QScBYvhY5TD_FhVLRq3VksPCWA5B9X1yAnr2xUuj1HkzghDBcXInVsdEZ90tApeV7DaH5kI4dmMb49PP691r-NEKgA0FDO_QpTkU52a7L8r5gfTBtPEfTCNhoH4IgKm30QHleuNZeBx3VCr_DF5HfCxtuy2PzYxhVpqxwV_1PqArjaRywCFMZ7U_hus9UZFxdE_poFkU4P8L3Aj5CVFNpBbXssH70JMED5Jaz1Vtkx680ElVB1T0GFL6IGHVyQsdVyWmSRtVnH-kIc-jMBDwgE-LxU2a1PEAWlo2CSZAKje5tjM3LjB7noQ9DMbK8VlFT6VrxlqrsOZNwj_DUaV72AWyA%3D%3D,2023-02-27
MioDottore,Rappresentante Commerciale,Reggio di Calabria,"<span class=""css-2lqh28 e1cjmv6j1"">4.3<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_01e49c09&cb=1677486631179&jobListingId=1008487416177&cpc=853DEF62E69EE75B&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-5a52f61841b78cdb--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXqqCNSZhnZEzp4hc4sXcmq7Chi5u-Yexf-SZ3VzH6vdMaa9nPgO4m5EQAc4OQENF0bYszKZXrNSwpLj-1BBDySdJ9HTvP7N_hNo4nhe1f5g6vQ_O3CwDlD989nBNJw_-YFD1h3vo0mrroPeslDwg5wKbrNisjU88Y2LG-DUYGkKCuPMfAgHWCmusGwEzvWzML3fCnNdtZuhJK7jQ46FWPBqH848kdKLdvlHx4CAdrns-zAWpVza03Zxcw-Nq4b1Xh9sEuBD5GwaWUtjAlWuLDdDudZVYoPqjHvorPhcnjKfl4ncyBo-JLs2qnKF0fOvbslgl3zVQlFKt-Q69tnHgBY5RlwM9sWAe0OXUuCi2YBC-wbnT2ReBnqs8SC9KMxWfgRohyG1wpOoI-OjwR-EpAOJuePk4oDM7CffCOZUmRxBJVB3BReFWsxFMAmYfnSckDXx2f8AQY2pBpU_QniNjj20005hJLfjR9hoznqmFVty60KwfVSQa3yhejqqHeHoo1oG_KlQRmnvIzcOGICOWPzSWW1w3EAaMhBz3dBtqJCXC3-7C1iCzW9x1UQf5IDa2oodX97iXKG2JvT8RNeq9-_7vPG-uRaQtP-7UpTgKoLUgw7yW4KqvKSA%3D,2023-02-27
Playerone srl,Rappresentante Commerciale I,Milazzo,,12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018691fea7ce91bf2c97387c0c7e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd6de1eb&cb=1677486631179&jobListingId=1008470638404&jrtk=3-0-1gq8vt9vjgahb801-1gq8vta03j4i9800-5ea5e61d8da35f85-,2023-02-27
