company,job_title,location,company_rating,job_age,job_link,run_date
Lina Stores,Capo Pasticcere,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">4.1<i class=""css-0 e1cjmv6j0""></i></span>",4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cb646f5a&cb=1676400547806&jobListingId=1008463851058&cpc=23F39E5DB52D8DE4&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-7e1e13143815ea8a--6NYlbfkN0DgDBzYgyTXPPa-zzAyV64JGJXXBlKCCozuZryCbtxWLN67JCK_x5dIm1_NRSs4n2EXO-iBCrL5CR0zT61IHucOf1BazLwxRlvnkXBQlexFrmApi7Yn6Lt0VLeIdiARWonebRP17Qr20lEq_vNuUYInIPs0ZZjVKD9DiSCZNf8mIbShF63w2s-rMGCF6BGOBEs2XLx6T06mr_UE9ZJGP5ygH-cZ6_e-LxtImtH3sHsbQEXTkqarIBzSwtyGK_SIAlus3-9gzJr2bPsDI0_wtFD3KM_fgtF-iQXLxYKpR0vTLACALoHjY1WSTmJd4izi5Khfj49a5XzDym4gQYmTiM5X3UT3A7-b2goHCc6kZ_u_5jgyAPZ4ZlEPdVXC_xhHRgCZWJGHZpQ1nWXH7gy-c77zCPAw70ktg57ZLCrXq72mUjZbrRSbstVQCexp0LjdPpHcbijM4ZazegrzD9mKoO7Y-5mhGDsZufev99pDFBOLoQemnZdu5HOcaTNRCLfe5gG5kgRCTMEGZ16ouf20H8xwNUr9cjl6UUMDYcoplcniqUjJoU0FUiQ9l_GlXigljMSxxMXc1aJdKk1MH0smncjgD5TRXIkRcOUlGXN85zcHyz4OSuU6cE76uhGEBGnCOOyN-XefFevONhO1GW8mEVYP,2023-02-14
LAGARDERE TRAVEL RETAIL ITALIA,Addetto Alle Vendite,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">2.9<i class=""css-0 e1cjmv6j0""></i></span>",12 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ce48290a&cb=1676400547807&jobListingId=1008446768086&cpc=03F67E1B243A1AE3&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-dc02799bc33274b7--6NYlbfkN0CX_LllCW0038eG5KcbQa1ryztUI5cfWNl3zQuoXSGfOYIi7XPpHnjOdHY5zUHTy5k-bTmVHtyIeiaoT6rl8pquKseqqJe_JO4unj2_ELbE5DMIM8gC1HdNzbkR1pf-SjQIN6kce-ItRyIl0ryBNdXwa-Mi2ok4n2R6BiMhB6nYlIlNgW1TuMNAasjgFMDM9a7vOCAdwotsl2xChY5k-7CqgTwU37TEspf8rnplj4gRWagJj4vCPWV3olpUNupo7Le_pN6ExMAuX82AS4Ktmk6nJaNeyIXJ_NHiaYKjiUrI69tenSC0C8_AGmtEHOtNomJy9pL1syJJq2UJqH6Y6EFi_ugYtWgxziM1cakpuqNcBg8KC9Jm-lAz7tBWYU2DgZ9R94JbD0LBr4Jzb0diRhCOpNovWiSZxNl3ztmx2msM9Wv_6jP3GyQlcxiK-4zLStHBRAW4Dor6MjX_TgXeuDszqjA6o6vGazoEHRa7qyB33Butmz9vpy_eUQgoAaFuf0XJKo87zOodsJaJ4J1rFVDWhl5ygNqJsyEGSbJI70a5-mC7nMZdgYGAGIN4rz_vlQvvj6gKyDn55VEJGgTxdielWsFwKgn67bDuDouc2nk6XwQKmIqgTBE2n35yPcoO3buLA6BAysti39IdzHXDxqm0,2023-02-14
Contrader,Sviluppatore Java,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.7<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&cs=1_363984f9&cb=1676400547806&jobListingId=1008278751833&cpc=F7BD8DA794B5A532&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-10c5a3c2a8650811--6NYlbfkN0Cy00j__gQrFinrTrsDapFDC4-gmcGoOTHxmFv_WCnGchzS1taFEGZNlUNp0kgtIzEMu03vyyRMGiku9Nv8FlO-pW_3CdK5VWNUDu914-Ctz7h9fjbkaKduH5NaF1L6FNtTD5L7WNbcp2O7Pjq0p9g3v9SB4rrPIxxQ2NXj2NVqJQmCoOVk2SCh_8eU1iVS8h2lWqWvkgSZ28DGaWg68RxrXCZMHCzoJbh6qr_ddQNwDTd4U3_-_COfD17tx0BcA54NDzqkz8pUWVj_WCDwh9rHst4desL13Q_nyOK2RhZcp7DDPEPUkLVz9rOsY83DgjTmb4AaPRku3re1P2bRU4ZTlHrp_rflYMRmJrjgCfkFn-8qjnguoeU9PCAbM9Ps-2qY3x0EoskxTckpOmBVPO76UbZqa7QYIiKPjUqFUZFISNE2N7hep2eER7DdCJtfx7h60HN6GN7aI42j0nRWldXtV1OFQmYjJYbgeX28OjjED4hwaHghUnD-PxjJzQRl6xNxTVVBwBpqjw%3D%3D,2023-02-14
Calzedonia Holding Spa,Personale di Supporto Alle Vendite,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.1<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1f97480a&cb=1676400547807&jobListingId=1007807309821&cpc=5D10E799EF7E9049&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-e7c9fa03b66e7219--6NYlbfkN0Ac3PQLf4kItVDhYN2zbvuJ7nFyTq1gElAGQ3upSQdcjrCR27fqEoep-82PBrEQSd_kxNxGovBpZXvGmGTdSkTvRIgFE-VbkLVBR4xnyJMe2Q2TmE61eBhiooYAIIVpGh6sVknSYM2KPpB45KYqfULRe-TK8DGOloR-p7VeqybqgYFFZATD_CBW03rA7PmclMJgAbTiNsSHhUyWSfEccVThVLlb0cCNZFm20oBOG_4BKBivZlhmh5AYitq7XkTA5BvW5PJtga94rX_t7z2bOJWIJ8o7iYv_yRkgW0ZyqSn--Hu8SytKuaVBsWTr7Zwu7DJkve6_TJ1XZW3Ztm_vTN5h9yWGFx75RFaGMnMq5NRepDO0glZ6zcVbAIQVPg8Sk3Vot4035AUmYf9YdpeWagQ7FbrsdPZ1a61vLIxNPLlE8YOPVIubEEqWC794g_Ex711OhJVatH0-uGOPerbOOveTQAKGLA6GlbNyl9Gm0p4CkjBp4f2R2BkrEcuol9WNkJKz5mRB8XidGYHQmDJlrlffa4Mw-FqrsZKm_5pfGxQpDiU8J1qS3Zqw-G0JzDGsqiiMu3eDWUvfc8SvUDE7iJ36DvJCtLRFpotDfAwTjOKrZ6e3K-9Ctn2aaDrFsrJ_ke6ZnLM1oMGgxPce7yqS_MCcdOApNs-uDXazMHNRZ1IpyI4Toaidz__s,2023-02-14
STMicroelectronics,Digital Design Engineer,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&cs=1_53ccc28d&cb=1676400547806&jobListingId=1008350934663&cpc=C433947A107EB3A8&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-d2ee06761eecb21c--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXOkmxXIDVr5Zlmq2abO39Jg6sM7RmxahK6sCKwMB9jzyy3hTH6_t7clHKbENZwMUarIVp5RF-xhFJT4cDScTlSxzy7UwgqAXWidN_apFMz5pmdIlHFtskfbOQhUBSp0wFO4e0v64VrBtsPv048CyoLK-Ztg2d_TDc7ZJW_gH_7FpLlozIIVsohpXwjWrK5Qefn7tgiqueLmtCxzYyLllsLTSyj_Az9GGVeuU7ESCD3mb_bR3HIXpcSUyPFX4lH8xP12V_MIwC17FM_KXeQxx6a05OwtKCC1sW-lgKk1-Iyc99CaH3-ycHSlJODnEK1LsgyQ7iwqLTlrIhXxWvXLyC1ZigrLf3G7w-3vVRO9kYabLfjmXaqToVCVHuUle_9GaMlmlLsUOAcCJTEcC_6fGjAcKdzyGIp83P7vRpMx1vWdosCzFE_3r_VTaI6ipgpIkVdkZx9J-QwLCbu14S4ilyQkB98ffi10VIItQxQE5_oVvEkIUp7DD0FqbFSM2-zwZojnl7abd3eXtCXZ6JxuU8x8JGX0GaAQx4sBv8o-7NCkCQK6AXdKe2l7Q9c66pvDBxo%3D,2023-02-14
Mio Dottore,Rappresentante Commerciale,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">5<i class=""css-0 e1cjmv6j0""></i></span>",13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_04be9ff6&cb=1676400547807&jobListingId=1008443880391&cpc=D1B7150B9C545245&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-aeaf8d93fa881c7d--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXkVlruWlQHMDHjltbakK7WZYyys5BW7vmw2Lw2lvYjhlQroJmbWWLS2eVT3RueYsr7uqHj_LOT71BDRx0DWxwfI_tGZiGJP-IyX0GHp6iZ-tihcYeqxr3jxbyGY9OR5co1zpfkB2zmsqpZYmuMyuUmCpc0_CdnT_GcRZHnxwsfFi6Kksof-CsnxWSL6ThEHEO7XWkpKq5m2UgOmNS4kISGg7507cJfCy-iCFYfIka6GBdiEbl1SyTk2l2COwmZdbJlbv6F0DMlUw6N9GSjH0y9JFvjQPgIfhoEjntCgGziTb5RU68Qmubt5NkCeNmpjlRDFTUDHV0QKT8Oe0dNx0xzyfDhTjs6JIZsOMNCcLNEzs8YNjpHsFWfAjmQuLdoz3uQmL6HLAb4qjfZyLadXrrW4fgSS-LQJWWLzkAizA_6WFyAmqrJA3XlXJfDxAZ_sOvpzArq0uqafcgH6tE6I2RlNDu6rB1HTXCMWb0k4Gd0b7x3YSRom_Hr7y4E4FchgPDa9szUoOBb30F4AZXpxCj1wvtplFuWQGi5TSDMWodxFIs47ARudEjYe7ylmmhYghp5ihokcF9pb9sJIVYuNE1Ug%3D,2023-02-14
Osm Value Medical,Project Manager,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8280200c&cb=1676400547807&jobListingId=1008130741799&cpc=A7B4A44948C4CC92&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-f00b98311ad101a6--6NYlbfkN0B6i9xeVABFT5L8de-qXhyg8UHgvplG36njblT18AVkYqL1QYvO2A6yDoxK_Nfzt5fFq46i5O5r1CbUp9Jx6BacxFcZQ3j3hRV9hUhrM3b_xuko8N48hm4ZcgVtuardN2J0J1Xmx6uCe9TprJs-bU_VTbhiLRfFZb0kGH186bxiIeG8f8vSBExzafFaVTNNQlqfiDNeD-nodCDwjd7rn_25Mc3Fq4ksSdypEN0x6-hyhAXRNqCAirbZgxfQ0dLdPElUuvq6Vl7ddmvsekZ42xUoFOTXm8jAYp5pNlUxZaUz8fsMO3aPyoOnYCIQzdV6ros_qHTePyuR-jIxCgeu6VxqQKgOxmNHYENuRho_35LMMBVuDicDV8Lkv1_7pZ5lAsy3v9Z1yolGpvZFFoo0UFWCguQQ49_uRgj4GeQgDvV8_TNI-H0LRZOA2GMqMNExh2asIbDG0v64lXl1hRG77tbb1Tet5MgFWPAYvVYd1sbFzrkdSXR_As0wWMrAcWhify_argbJBr-fZkMe_IahmQERpjqkdOi3PujxIWeIqbrVH0CzzB5qyGSjIBfpEdiT0b6Z4EsZBv6QTlxpF9kONEIQE0LDO8k4fG8en1eQSf3Ojw%3D%3D,2023-02-14
LIFE Agenzia di Animazione,Stagione Estiva Animatore Grafico,Napoli,,5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_965fcddb&cb=1676400547807&jobListingId=1008461877667&cpc=2F725E1A875689B6&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-2f4a9c032cd61bfb--6NYlbfkN0AG71ikXQ6DjEkF1bK7dgYLdBYMctPcHbYjdG_0glLaKYUlRgJ0Xd-3M6dLx3t5vVr2I6TA4nJqPlcsrNQgnv5X3iEluOKwbPiZQZP2bOVgFagsm3wvv2qiczlPYUlAoaxDvjCuR_xBFisa2AyV9eKVPCVmaCu7vdLOHd3DVWNXIgXFDG933Sn1Qx3YewFhdzTYEzJlXvzDyMiFm9N4UD1iyA5KY89YI6OtRMq_0uYCHi1fF0uwl0MGfxjP_WP4WLPdACAj6eCqAUgS9NPL5NqA1BKtJg1W-_sJy2r4MD6uqGZId109Xrf0H10iq60hxCbmhudkNqBToP-CAk_eLvs3e4AUa2Q4ku2UIy2fem1JlNSxLcjQ4yvQTxAC8q1znAPvozRjaarVXDnkh9oPXUD3xfyselqXSUH0gmRua_nkFpUKM-L1N5fAyr-_aa9YlpXhyrzDdxrkqxqxEa2yPR822uncdw01SN2h7dsOYD_hWxcWX20grszxXodvs7HW9QCnTQi_vOhQ5v0O0WyKGx1KzWwkEkvrcYr0ZgaeJfkPFtnLsnjOJhQv5R8ulSWwdYhqkpcFaX3NyHefa468ijZK81IPNsdq4B9QnJwo87UVzkH3OW6cGwDfaCkkWxIfC3U%3D,2023-02-14
Mio Dottore,Consulente commerciale,Napoli,"<span class=""css-2lqh28 e1cjmv6j1"">5<i class=""css-0 e1cjmv6j0""></i></span>",10 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_29d41a35&cb=1676400547808&jobListingId=1008450207435&cpc=4AE8B46D8845344B&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-5588309128beb294--6NYlbfkN0AF17EcCFvC3sSSauUVKuru0Tz0j2iBkWihqZ056fyRXkVlruWlQHMDHjltbakK7WZBkIMsKf46Gu1Pgj9pmX-4tX-dl_uuMEXenBfc2XuArHNt_zsTXkUN0UdA46-eY3wEf9v9BIVwZ77RPTjPwQIzcNx3gNBKYWZbiDDgDFo-4VnV7abF2I6jIO8kbpmfohCJQfaVevv2G6kXW2pSLYajlgdkeLfFEs3a7Ppz2Vjz0z3kR2lB1OlfbBm6uGedQZeSPuBmT4ucyrirRfciE6AT3Ra27UqY1hH53nPVRYYGUeWL_bJkhxk3KOv6lqg_aexkuVOuNS-77wsunBm_B316pypOHvUAyVDSg75H15xtTWNMd11YagICCeoqIrpa7WmG8hdLjRs67glhef_6GjxMtAWdhnt1yWmS8eRaQX35gsreI4YwvBqh9ftO1cFVs13gM1UinqvYpi5gk1q7kiha8B6pwvnHcDi5_9CLGgiyO4Lvx4Pss3IZdi9ID-xqdkgQUFf1eJURts3gvlQnnnI_mjv4YYm-Kf7EMuKF73gjXXk0KZp46MndFcKFDPR3s-as0gqBrMomONAFMMG3PkkH7ATfgieS0Q1fZIOTrSmUrb7d_4gBSYPxt590SHWkFg0%3D,2023-02-14
TECH-TRON SRL,Rappresentante Commerciale,Campania,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018651425684a67b6036aa43cee2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9230bccd&cb=1676400547808&jobListingId=1007908830771&cpc=D1B7150B9C545245&jrtk=3-0-1gp8k4ll8kcl0801-1gp8k4llsp6d3800-7c95fcdafda41659--6NYlbfkN0Bf7zH--WCva9hch64-vSufFGLij5owhii5BKgj9p7pAwk_eXebG4-ARKBU6wgtV7cAkaD3siqHnlk5kE6xXfpx8uW222y_yrqaPVYLFSkOxIgn_qwO0yG8xmhKkk_cxhzg85B35ai5UpkA4wbsGan6hSSLCTVVq1bdSpfPGCKQZXTdJq_GTcKF5qZHarPpkDIfDANrsHwPs-r2wViUSw3KEGiTC9cRwPGexa11_ZuGakchOUcpQ_yMbomh4JP-_YF38vO7sEWGQ6ZUrRvef4paYDcJN8RsEyrhzK9aY28lxF3-yW5kZE8tWIlIHUoCc68S6G9JiZNFvcJAOOPt5Y7b-Ha98q595azWB3-gry9xJbmjCAuoVaTesVpy18VaiQhS_NOx17odx4NCzhAswUeLHu0fKvlGHiBhnBHjyQW7gssV9jKr36VI5hKkd2PiVQWmAqeR_5EP3GwJjYIRNHSsqr7HjMwLmzRsTLlQDV5FhD7eEonMxKjUoYyeyTOmQTPR2sjjlRpJeWBmRRfmSi79y1F9ubQctqK2giVGuMbYaLiLSUYtrLIXaQMqAmn7fos%3D,2023-02-14
