company,job_title,location,company_rating,job_age,job_link,run_date
Contrader,Sviluppatore Java,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.7<i class=""css-0 e1cjmv6j0""></i></span>",24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&cs=1_1eda245f&cb=1676543024047&jobListingId=1008473824221&cpc=AD396490361E83B7&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-fb720b4a600cf23b--6NYlbfkN0Cy00j__gQrFinrTrsDapFDC4-gmcGoOTHxmFv_WCnGchzS1taFEGZNlUNp0kgtIzE0l4FliGN-864GbpV3f__CyhwjhOY2U7fxese_FkFmr49yN56S_1JXZQrz73yRnAvco_gBk90wZz53bpiTELLixYXEBvX9llKACwa4Pe6gIH7iFaa6T1zK_uqz_fIRz_pcvHOYE7bS9YCWm8aYj7ovQYF3a8_8jOIenMbo2AE7hWgcHK4nOYtMVFGy-N7lOpbFLCQgSCa6kw2RKX_zvUZBll5QrtidfELtksLE1JHAptYwJYWueiUm3Yi8ofv3PAa2PvEnLmNl96YcaR-HnctLCKi1D4fNt2B8leiSrZSEzrCBWJLAKoqQo38fylTjzIDF-4oosJVa996RAE5M1GJ6W6htiWsqiielXIqAmyhBduI0nkLeg5S-C_ZAP0b2Xp8WpWyU1kyWrgmLIPNLHPbsSDIaQk8IdqawiQBbnWE8UM267FBdkV0kMOIkdvAdJBaGpX2wyRho906UeHEkNoGaKVPPuOFSUVb3iP6W7RUY15I4WLX91b82e696vsiR25Y%3D,2023-02-16
SIGNORPRESTITO SPA,Consulente Finanziario,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.8<i class=""css-0 e1cjmv6j0""></i></span>",27 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_72f4d2f9&cb=1676543024048&jobListingId=1008416673809&cpc=0A88B0016E52E137&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-d830bed9c5c2881b--6NYlbfkN0D74302Cqkk_Z3RqQnMiVOiakVDPjdvlvTMJ0Zvlklid7SotXgZ8BsSPpKqHKAkSdvYPp5SaKM3YWEJXMcw-H7addeF3_dnijX1NTAUErG-nMptPVpwkN9W4Bm18r19zOcEWyVgje4EttJ-_Gv3818bt2EL4wwY-ijDWZxTpCFuR5_B8hW17-Zbo_8jQfa3rlSlneUO3EQAnUmOej-F1gI31PJ1We73654HapoJWnopW6qLGP-YTl76yD98TVHWJ9sDreUaZbkX4RZXvN6sB8iLtkfVbiefEquPlNxxaRAWCgfOQY5WMzhlIgh5BaWhjAAjFS78TTCIGbWsuJGuDr6r-CcLhxHqZaYgiwWs_L9_ObGHU-DVhFWvJUp3wkPNAPV-Er50ok0FIFI880b4kTbqYa8O3EpUXdHiQ9nrZ-MFyW-tSNTBFIwe3qF5bGegwl0x5Qt_el9g5K1ws-Bb-Aao3guo-xcBkSBmlEiA0LVzRKNCDT5xT8n9ihmht8qcHKifCYhR17dMYM2dRbRo6jv7mF6mg-M11ub8cbeK3o0J8pB1H5Zufnk04fpzrkAGgxK8z8BofKpFJAdlutAb80oyacfnF4gA1J52jHy9ePvoS9TET9W9cXLXCq3slgrHob2R72p9WFXEppP9D3Yw6mOWxxcx_ik-G6-lHIUKKkxfSg%3D%3D,2023-02-16
Covisian S.p.A.,Operatore,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d49124ef&cb=1676543024048&jobListingId=1008378360877&cpc=7095061949A44974&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-ad68a16368b41907--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgVQ0f_8wE1DpvTswVyHFG6jSuso9zWT6x0S1cw5zR0s9llb6J2xX3mIO9GeKR-UclAgUwTWAuaKAsHxLw5uOcOEbTfZtYzZSRJOD8LdtPse-30q3zaIzjh5r4889m_sEFmzrgMOeZZWNUga1rofeyMztUlukj9Wkg9cs3Ta8dgcVmapL7lbAAiSgRSBlwDTjHHytQz0C-j-TzWH1CPRHQxGs2osIpboO0tRq3QTtV6Ycbr6RZl9TeRq5i152lDitm71wEeOAVqKSVrDDKYiLKGtwRv4L0DsPAQvm5OQC696PE9uyPVJUrniDkTZxu_0M_MZAW72yUGtreCu6fWu8BN2nbdxDMmI87Q0U8POGVe-Oh8iQXTuO9Bur2iawCxKhsHtZzp-7cSpgUgNzfzF9ALjzQrhlevxIHr3MSnBwc4Nydr9gs9t2cq8uIS61dHeiKcqT0IkiYSIpjWRtGXXZh3BemCuUhuLwU0Kl-1QHUWm5L-nvNMi_GxtuNuEpR__pR5KbxeEfXbjq4CFfWevcvU-QtJxHb7OzZuADDSjy5KjvM81FGKrdXM5kVp2rR0nG2_M1xCzxCdiMiPgaTyK_uKC1O-SS6eDfFEkfR59jGciJG9g6P_UDqsSGlrQrlGy2vA%3D%3D,2023-02-16
Happy Casa Store,Addetto Alle Vendite,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.2<i class=""css-0 e1cjmv6j0""></i></span>",5 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9cab64ea&cb=1676543024048&jobListingId=1008464491893&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-7db44a4a0095161b--6NYlbfkN0D8jtELeZ2DSjG172ALOKTvtzTTHVc7H3djIxsdTdrG6opdHVuvCnEkzgxrvKFa0NIRKuItTDVPvc_jfsMMtOGjENyZVk8_C7NwBD5S2bq4nnN5fRrtrnvtea2K3tjRN-Ev76DooKMd_wpclzTuYksUyjNWhOzLi5jAxyFqeFaegLFZ7DJJ5m57Slr6_4ceFRQ_r_ph6ubmXYSTXyycp3J3s1vmThjeo50lV3Kb1EoG0ni6tgDIMSi6YrO9EGqkV8Q6F9YKs78vYqfp21nWABtd3EQbCYTLbcCf2a796OBLTiR9n7wBo8xMlPDY30RgxtsuGUnIBulJcjKj3zFVWlhV10TCnEuQvsL_Lb8dIrgSG1WsM9fE7OT_KYfeWy99GzIIupWK-RayCWS2pcm8Tp9KbfoYM-Nvd78x4uC6DhpGbLWBriMa-xpHxzIw5EGHBe0bIUz2NzRoG0hOT8-WpoHYZUJZ1SzbN1tVEq2q7UDbUgbkvwZRt9KHcDQRYxS9NdnsnGuHEW6-9QARQH8L1ljkUvZ4qwszBxzPxiLTEUqupfo1A4gFyMJlIyDj4aXUl5fBnzcJyoPTbt4E09w2ycHzD6U1tPEe1ubmZxbFQ_cMtpQS_urkDy7kq_zkP6Tj5PXo3XgKqla0RA%3D%3D,2023-02-16
Service Credit S.p.A.,Ingegnere di Configurazione,Cosenza,,6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a0492033&cb=1676543024048&jobListingId=1008461436327&cpc=9C4F014304452074&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-7368b3e3c5a4ccf4--6NYlbfkN0Bs1qkze_iJM-y2AGhRqLNXG0-f8q-LGuxmV_OsIYuznJQW-M3fBZa4uvM4LPxcF-jIWIA1cobQ2PY6JvPjqT7XPGKcilAxtO6CS_RgdDZGnB7oEn7Cbn-1uqHONdjGe37uxPPcRKd7rXQ6BArWFtS1nKVzWHVo-TBof1h0JxYqE54beizcugoFeQ6lGeVtz-dVAcSiDwdnNmA-ym-zRHvLexuKgvF0J-Mj63xeH5RZFa8ckIKVPWErIYr-KDEIwXsHHm9ci_iFRlVEC4UVnItE-YkeBChHv3k8DRSEflVIKJx5l-On7IWiP1foHZZ-OTzwE7iFkCU3Ih8Xo-YU3O0AfQGrvxzwg6SywOECaedw523ot642vGtKI_CbAqP0A4wwbPzAhi1_4dctSvehx701NTNW3FtSHYVT4IQ1dnsP_IcpL_GGFLMifZjUX9UTT7ueQ2wy-WvWzh-EaOhJwELgVj_ZzZcwQZdaz6DY7Y2DjViP3TQwvF3B7RmARgeuRhx0BHt5U4Sm-_8dJML4IzztOE7k1J9Hmz6PHcboQT-UQ-oxdJxGxZTZgILhmBjMz2s%3D,2023-02-16
YES WE CALL,Rappresentante Commerciale Interno,Rende,,28 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_87ff0167&cb=1676543024048&jobListingId=1008414100664&cpc=70D6958B2CFB98E6&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-364814d5bd49f6cf--6NYlbfkN0DagA07TmyB1YJyzVUET-YOJfvA-QQt2uXWMMaoMPa4Bfu0iOKutm-l0N3_YznssB30n3nhpvtYzy40VF_rXZcoQAanog7hGR4Xhkr6B4zNNgvy7axJ3buoLjMk67hFpoxUuKMrYJ_mKNN6L-QF7llqxCD-ssv5cEE-AS_C1QDb_tFDk5OI1zJe_mXc_5kELuixAMB4lJ5CQN-dB5z679l5ybKFGXEC04Ckg_C19XXU6yxOge_s4A7u_UJ97jSB9WdgOvntHUCOGPa_vLsL8O2OYxejfX8xMKevVEONDhkL60AddIJD9UBxuFd4EVKUUrp31bhTboe1D2Bk9sEr2io4UEdbaexT5Huz4Lt8NgfAW2kfJBN4an6YTcuTd9drGEsJU8Uhazf3kdiqCY0SV0aufgZoR9-Cnl59VDr-uHONxbo91hq0fxf6l0cqqysqV2NG6sVFsfP66E2DDywislFFoSABi60XiBbvrfEbccxE6JFilmBLarbgcTuZyv_F5VMCzR_MVlLaj2DnRg-V4rRsDc_O7HWi8wuGQcAIIKwpLsI-gXjWepefCXnR24yFSninqsUizxsU75vDxgsDIneXQ9OrnIYJsdE%3D,2023-02-16
MACMARK,Sviluppatore di Software,Rende,,8 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_95b8e413&cb=1676543024048&jobListingId=1008456951670&cpc=18C9CE28155C17C5&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-a218f7c78953d77d--6NYlbfkN0BKG0r_cFDl_PDPBx1QsMIMe7POWpFXZuQ4e3nl9y3kgWI1WfCa2LLwddfGq1S1YTWVr3bt6Vpud_zBKg1oAZIbmi98KfExHwOU2Zh7LW-0JCffT5-skG-eSYU5KlTuuLYjqIzKJU61a3Yz1VwG_vvPsVawYQSwDkG4r1PkcjF9GEpOV6VxKcTIrVrl6jFMSdyQJx1GxwCVE4tCn0ex0wgOm4n8jUXABSTLBurOEBqhVRcGZot3uGsN1H4da-kdBG7aJ3fNMu0VgE2ns-l_7KScrQAG5NuHXwjme5WdSGFhkHyyxrJblx2EaJ3vaNYsOMQyEy5ma_iVIspdNnTahHAlMK2UOpGLLb9nXhmnzefHvGQeDtS4h9ImB4HZUXzyCGX749uwEf4JzXm82RuqG_XTKlSot0jObswFa22YCKfRTEzO1CGgh-ZV2bhGFFfgsnK5EqHuqZ3v4IxR44sBbYaY7e6TdZF5oaXUNtLZ17vTziw4pjlXQrfB3TkqBa32Hdo10FtYMUuABSGuOhiwyOIXLlqMYZ0hAoEI_d33RyQ70h71sd1G9e-oMFkctkmYm8jsLIa_21FaThAbIqoUgkNHRj22MzD0GxY%3D,2023-02-16
Covisian S.p.A.,Operatore,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",6 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_36030607&cb=1676543024049&jobListingId=1008461459860&cpc=75B6770C194DCF89&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-a48d0b31c2b8e2b6--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgRgKoaoztMcZg4wOo4tMM4_1a2XdtHy832ucMuUjQXiQDqeu4qcQ0H_-Nao3ihqO7tgG9qtfZ6vP8lGp0mLEoBD8eyZIKIjeWez0_Cc279S5ocKKYeh8Lc5eWkxZ2f5QybYAgAU-zL3St2ZdU4i-UuzEFceGLuSfGJAQ9XQfQTJf-2uLwkO-F5pTGj29mxyUfH1n8BhSO_YHAn3Ol-6aEGNxBCFFmbYrME4DEgSrkeApXQanhQyrUrRkR2lDH02_EySBUwqHAg6ZMPiqk1ZzLPsFCCUpgsGNYQvflCwE1K-fsKtkuEq5lf0JKNBLLS29OQMyWeP5hZxiIZjCRqn1P1WlmXVTONFN5ZSBe5z59gb8QQy5CRcF_UPjREBN-QXQOPHiyiJbSJLEap46pgpBWrSLtgJOV2oj8knD2L9XiI7v_yfNRlpRx3R_j96b4hN1NtEE6M5PCzZpZLbrPxcEdMHkTqx8i-kqTjOAe_XSKgUTD4lRlafFm9scOfZXFZPYNjtb3zbd32EeHA7_nU3dNbW1nvmCj2Y7YMMqXFx-tHmuGh5e3VLiDP-6R2x1DDMOhWRwHwjfZ9RRBkloV-WyHNs%3D,2023-02-16
Covisian S.p.A.,Business Development Manager,Rende,"<span class=""css-2lqh28 e1cjmv6j1"">4.5<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_43d98c05&cb=1676543024049&jobListingId=1008395228758&cpc=75B6770C194DCF89&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-840a80e14c09a86a--6NYlbfkN0BnrGlSDnen0QF3oGdbTpIwpSTLOTcqkZZKInyhNwmcgRgKoaoztMcZg4wOo4tMM4-j8FeglZmozd7mjNDtHLoFCMPezM80ZDPvqNqW0sipoaNiGrrNVdjz-xv_KV_nSoGQQFqAnyCG0xN_CKti_qUZ5u44iNUdl5Vch7PTPxMsxzKl4P-o7Tu1vGzfdYskqRJcwWL4bqhSNWZw4tX7OLPH_jmWHc_-_U09HeL4VyVrqC7kY8ksHVPUQhxvi5V5SizU9_78X8FOZMSQSBxrPXRmuwc_oFMk2plrz4Y5vy6yiFiyyVnmPEpZMXUpkMudDz1svB1EP0znEvWU9kx09sA7rQesBL3zNVdkJiTyT80qmtFsywPiEQrZX6X0oi80OeTf3EOyIsWnJdt2q8y_b-jPEnIxT-XD3i2KVg-8nou2m8bwQkEbYYh7UHkScWWFGWkLVdbidUVgkMsccKTJrsMxz_I5Fcxf_dmTgwH3oULha2H--UIbgsXBghKFH1dQpXEY7c-s2MfiTpGKKIcVfDnW3Mt28bLiQ9UoTiEoYGOQktHaii21bj8dWDFBPAaR3Wc28IIALCv9612WqP_CiNnpQqMaOJBetZ3F7VRNQH5uBg%3D%3D,2023-02-16
Eurospin Italia S.p.A.,Addetto Alle Vendite,Cosenza,"<span class=""css-2lqh28 e1cjmv6j1"">3.6<i class=""css-0 e1cjmv6j0""></i></span>",23 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018659c05aafad5eba49e1d191f0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f565ded8&cb=1676543024049&jobListingId=1008424011356&cpc=654405A9B1E0A9F5&jrtk=3-0-1gpcs0mmdkuiv801-1gpcs0mn1gaji800-43b54561f181f213--6NYlbfkN0C1abZ9zL5NYIhXV7bfxDjOB5o2U9Geipmv_mrCPZiQ0iu8Xnde5mL7-oAyK2qtyyrjruc29eqthDqs-ByKlFJu3oRBZ4KMILBPN8uhvIPJNBqe8WCq4YLfVSTQ_grM5G6ZwmrdABbXH6k2kenP-siwKWHQJxd-QCToc6KA28YRPgzKKY2qyxZ_XSxWAXAOazMKoPnZUEmVzIaCix8f0W7pzHCrZWgpnzgeKeumoGY89tmgEdq-e4RufwlbhlVW2NU7hBL3wX9thJYsz_l64w4E5fAL_jkwQ7qd2laf83NTSTZsxYDpD3dmg6Iwv1gjLMsCV5-Tct-0kDR55hua3xc8JBIzgDeEZg0XnbxJNghrs-Oi9BbNiKxoKd5jYvJtamtO3ByUv-3NXS0ff1C5Wm2VGIm4xfZGRmUOFN0_DkLUhZ704_DEPLp_cRwkakqSCerbadtDWAVIF53qtKFkxOOQArYlH7muUpK_vRGL09lN5-1FLhUODWJx6dD_AH-kJ7gGywVk-inR4dRkl1yhRrGAxvTi_HiGa42p21F0zxgFKiZUVlLiI3z9Gr812OglSWVFj0zQ_tLsPwxgwVvoYPoIpdpyj0BxmH-FuXsZhPcdmsAi-WK6xmjq,2023-02-16
