scraping_date,total_rows,ko_schedevalutazione,ratio
2023-01-31,450,97,21.55555555555556
2023-02-01,253,171,67.58893280632411
2023-02-02,462,331,71.64502164502164
2023-02-03,465,345,74.19354838709677
2023-02-04,450,227,50.44444444444445
2023-02-05,459,366,79.73856209150327
2023-02-06,255,163,63.921568627450974
2023-02-07,450,443,98.44444444444444
2023-02-08,450,445,98.88888888888889
2023-02-09,450,402,89.33333333333333
2023-02-10,450,193,42.888888888888886
2023-02-11,450,391,86.8888888888889
2023-02-12,419,351,83.7708830548926
2023-02-13,450,443,98.44444444444444
2023-02-14,30,27,90.0
2023-02-15,450,170,37.77777777777778
2023-02-16,450,295,65.55555555555556
2023-02-17,450,307,68.22222222222221
2023-02-18,450,330,73.33333333333333
2023-02-19,450,235,52.22222222222223
2023-02-20,450,257,57.11111111111112
2023-02-21,450,278,61.77777777777778
2023-02-22,450,445,98.88888888888889
2023-02-24,450,261,57.99999999999999
2023-02-25,450,192,42.66666666666667
2023-02-26,360,248,68.88888888888889
2023-02-27,450,198,44.0
2023-02-28,450,387,86.0
2023-03-01,900,708,78.66666666666666
